$Inflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4420,57.51,0,0,4.939,0,115.1,1342,219.2,22.59,0.1088,5.38E-02,0.2638,0.1473,0.1473,0.1473,0.1473,0.1,7.9,7.385,27.24,7.37E-04,7.37E-04,7.37E-04,7.37E-04,1.18E-02,1.18E-02,1.18E-02,1.18E-02
4421,57.52,0,0,4.94,0,115.6,1342,219.2,22.58,0.1082,5.29E-02,0.2593,0.1481,0.1481,0.1481,0.1481,0.1,7.9,7.395,27.37,7.41E-04,7.41E-04,7.41E-04,7.41E-04,1.19E-02,1.19E-02,1.19E-02,1.19E-02
4422,57.52,0,0,4.941,0,116.1,1342,219.2,22.56,0.1077,5.21E-02,0.2549,0.1489,0.1489,0.1489,0.1489,0.1,7.9,7.406,27.51,7.45E-04,7.45E-04,7.45E-04,7.45E-04,1.19E-02,1.19E-02,1.19E-02,1.19E-02
4423,57.52,0,0,4.943,0,116.5,1342,219.2,22.55,0.1072,5.13E-02,0.2505,0.1497,0.1497,0.1497,0.1497,0.1,7.9,7.417,27.64,7.49E-04,7.49E-04,7.49E-04,7.49E-04,1.20E-02,1.20E-02,1.20E-02,1.20E-02
4424,57.53,0,0,4.944,0,117,1342,219.2,22.54,0.1066,5.05E-02,0.246,0.1505,0.1505,0.1505,0.1505,0.1,7.9,7.429,27.78,7.53E-04,7.53E-04,7.53E-04,7.53E-04,1.20E-02,1.20E-02,1.20E-02,1.20E-02
4425,57.53,0,0,4.945,0,117.5,1342,219.2,22.52,0.1061,4.96E-02,0.2416,0.1513,0.1513,0.1513,0.1513,0.1,7.9,7.441,27.91,7.57E-04,7.57E-04,7.57E-04,7.57E-04,1.21E-02,1.21E-02,1.21E-02,1.21E-02
4426,57.54,0,0,4.947,0,118.1,1342,219.2,22.51,0.1056,4.88E-02,0.2372,0.1521,0.1521,0.1521,0.1521,0.1,7.9,7.454,28.05,7.61E-04,7.61E-04,7.61E-04,7.61E-04,1.22E-02,1.22E-02,1.22E-02,1.22E-02
4427,57.54,0,0,4.948,0,118.6,1342,219.2,22.5,0.1051,4.80E-02,0.2327,0.153,0.153,0.153,0.153,0.1,7.9,7.467,28.19,7.65E-04,7.65E-04,7.65E-04,7.65E-04,1.22E-02,1.22E-02,1.22E-02,1.22E-02
4428,57.54,0,0,4.949,0,119.2,1342,219.2,22.48,0.1045,4.71E-02,0.2283,0.1538,0.1538,0.1538,0.1538,0.1,7.9,7.48,28.32,7.69E-04,7.69E-04,7.69E-04,7.69E-04,1.23E-02,1.23E-02,1.23E-02,1.23E-02
4429,57.55,0,0,4.951,0,119.7,1342,219.2,22.47,0.104,4.63E-02,0.2239,0.1546,0.1546,0.1546,0.1546,0.1,7.9,7.494,28.46,7.73E-04,7.73E-04,7.73E-04,7.73E-04,1.24E-02,1.24E-02,1.24E-02,1.24E-02
4430,57.55,0,0,4.952,0,120.2,1342,219.2,22.46,0.1035,4.55E-02,0.2194,0.1554,0.1554,0.1554,0.1554,0.1,7.9,7.509,28.59,7.77E-04,7.77E-04,7.77E-04,7.77E-04,1.24E-02,1.24E-02,1.24E-02,1.24E-02
4431,57.55,0,0,4.953,0,120.8,1342,219.2,22.44,0.103,4.47E-02,0.215,0.1562,0.1562,0.1562,0.1562,0.1,7.9,7.524,28.73,7.81E-04,7.81E-04,7.81E-04,7.81E-04,1.25E-02,1.25E-02,1.25E-02,1.25E-02
4432,57.56,0,0,4.955,0,121.3,1342,219.2,22.43,0.1024,4.38E-02,0.2105,0.157,0.157,0.157,0.157,0.1,7.9,7.539,28.86,7.85E-04,7.85E-04,7.85E-04,7.85E-04,1.26E-02,1.26E-02,1.26E-02,1.26E-02
4433,57.56,0,0,4.956,0,121.8,1342,219.2,22.42,0.1019,4.30E-02,0.2061,0.1578,0.1578,0.1578,0.1578,0.1,7.9,7.555,29,7.89E-04,7.89E-04,7.89E-04,7.89E-04,1.26E-02,1.26E-02,1.26E-02,1.26E-02
4434,57.57,0,0,4.957,0,122.4,1342,219.2,22.41,0.1014,4.22E-02,0.2017,0.1586,0.1586,0.1586,0.1586,0.1,7.9,8.958,35.03,7.93E-04,7.93E-04,7.93E-04,7.93E-04,1.27E-02,1.27E-02,1.27E-02,1.27E-02
4435,57.57,0,0,4.959,0,122.9,1342,219.2,22.39,0.1009,4.14E-02,0.1972,0.1594,0.1594,0.1594,0.1594,0.1,7.9,10.35,41.07,7.97E-04,7.97E-04,7.97E-04,7.97E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4436,57.57,0,0,4.96,0,123.5,1342,219.2,22.38,0.1003,4.05E-02,0.1928,0.1602,0.1602,0.1602,0.1602,0.1,7.9,11.72,47.1,8.01E-04,8.01E-04,8.01E-04,8.01E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4437,57.58,0,0,4.961,0,124,1342,219.2,22.37,0.1002,3.99E-02,0.19,0.1605,0.1605,0.1605,0.1605,0.1,7.9,11.69,46.95,8.03E-04,8.03E-04,8.03E-04,8.03E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4438,57.58,0,0,4.963,0,124.5,1342,219.2,22.36,0.1008,3.98E-02,0.19,0.1601,0.1601,0.1601,0.1601,0.1,7.9,11.65,46.79,8.01E-04,8.01E-04,8.01E-04,8.01E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4439,57.58,0,0,4.964,0,125.1,1342,219.2,22.35,0.1014,3.96E-02,0.19,0.1596,0.1596,0.1596,0.1596,0.1,7.9,11.62,46.64,7.98E-04,7.98E-04,7.98E-04,7.98E-04,1.28E-02,1.28E-02,1.28E-02,1.28E-02
4440,57.59,0,0,4.965,0,125.6,1342,219.2,22.34,0.102,3.94E-02,0.19,0.1592,0.1592,0.1592,0.1592,0.1,7.9,11.58,46.49,7.96E-04,7.96E-04,7.96E-04,7.96E-04,1.27E-02,1.27E-02,1.27E-02,1.27E-02
4441,57.59,0,0,4.967,0,126.2,1342,219.2,22.34,0.1026,3.93E-02,0.19,0.1587,0.1587,0.1587,0.1587,0.1,7.9,11.55,46.33,7.94E-04,7.94E-04,7.94E-04,7.94E-04,1.27E-02,1.27E-02,1.27E-02,1.27E-02
4442,57.6,0,0,4.968,0,126.7,1342,219.2,22.33,0.1032,3.91E-02,0.19,0.1583,0.1583,0.1583,0.1583,0.1,7.9,11.51,46.18,7.92E-04,7.92E-04,7.92E-04,7.92E-04,1.27E-02,1.27E-02,1.27E-02,1.27E-02
4443,57.6,0,0,4.969,0,127.2,1342,219.2,22.32,0.1037,3.89E-02,0.19,0.1578,0.1578,0.1578,0.1578,0.1,7.9,11.48,46.03,7.89E-04,7.89E-04,7.89E-04,7.89E-04,1.26E-02,1.26E-02,1.26E-02,1.26E-02
4444,57.6,0,0,4.971,0,127.8,1342,219.2,22.31,0.1043,3.88E-02,0.19,0.1574,0.1574,0.1574,0.1574,0.1,7.9,11.44,45.87,7.87E-04,7.87E-04,7.87E-04,7.87E-04,1.26E-02,1.26E-02,1.26E-02,1.26E-02
