$R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4414,43.05,0,0,1.16,0,43.41,1600,180,5.49,6.02E-02,0.1238,0.3898,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.836,16.82,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4415,43.37,0,0,1.159,0,43.47,1600,180,5.317,5.98E-02,0.1228,0.3797,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.818,16.86,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4416,43.68,0,0,1.159,0,43.53,1600,180,5.144,5.93E-02,0.1217,0.3696,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.8,16.89,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4417,44,0,0,1.158,0,43.59,1600,180,4.971,5.89E-02,0.1207,0.3594,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.783,16.93,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4418,44.32,0,0,1.157,0,43.65,1600,180,4.798,5.84E-02,0.1196,0.3493,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.766,16.96,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4419,44.63,0,0,1.156,0,43.71,1600,180,4.626,5.80E-02,0.1186,0.3392,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.749,17,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4420,44.95,0,0,1.156,0,43.76,1600,180,4.453,5.75E-02,0.1175,0.329,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.733,17.04,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4421,45.26,0,0,1.155,0,43.82,1600,180,4.28,5.71E-02,0.1165,0.3189,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.717,17.07,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4422,45.58,0,0,1.154,0,43.88,1600,180,4.107,5.66E-02,0.1154,0.3088,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.701,17.11,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4423,45.89,0,0,1.154,0,43.94,1600,180,3.934,5.62E-02,0.1144,0.2987,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.686,17.14,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4424,46.21,0,0,1.153,0,44,1600,180,3.761,5.57E-02,0.1133,0.2885,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.671,17.18,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4425,46.53,0,0,1.152,0,43.92,1600,180,3.588,5.53E-02,0.1123,0.2784,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.657,17.21,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4426,46.84,0,0,1.152,0,43.83,1600,180,3.415,5.48E-02,0.1112,0.2683,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.644,17.25,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4427,47.16,0,0,1.151,0,43.75,1600,180,3.242,5.44E-02,0.1102,0.2581,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.631,17.29,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4428,47.47,0,0,1.15,0,43.67,1600,180,3.069,5.39E-02,0.1091,0.248,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.618,17.32,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4429,47.79,0,0,1.15,0,43.58,1600,180,2.896,5.35E-02,0.1081,0.2379,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.606,17.36,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4430,48.11,0,0,1.149,0,43.5,1600,180,2.723,5.30E-02,0.107,0.2278,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.594,17.39,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4431,48.42,0,0,1.148,0,43.42,1600,180,2.55,5.26E-02,0.106,0.2176,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.582,17.43,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4432,48.74,0,0,1.148,0,43.33,1600,180,2.377,5.21E-02,0.1049,0.2075,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.57,17.46,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4433,49.05,0,0,1.147,0,43.25,1600,180,2.205,5.17E-02,0.1039,0.1974,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.559,17.5,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4434,49.37,0,0,1.146,0,43.17,1600,180,2.032,5.12E-02,0.1028,0.1873,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,5.891,18.33,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4435,49.68,0,0,1.145,0,43.08,1600,180,1.859,5.08E-02,0.1018,0.1771,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.233,19.17,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4436,50,0,0,1.145,0,43,1600,180,1.686,5.03E-02,0.1007,0.167,5.36E-02,5.36E-02,5.36E-02,5.36E-02,0.1,7.9,6.585,20,2.68E-04,2.68E-04,2.68E-04,2.68E-04,4.29E-03,4.29E-03,4.29E-03,4.29E-03
4437,49.95,0,0,1.144,0,43.43,1600,180,1.811,5.01E-02,9.98E-02,0.16,5.38E-02,5.38E-02,5.38E-02,5.38E-02,0.1,7.9,6.576,19.98,2.69E-04,2.69E-04,2.69E-04,2.69E-04,4.30E-03,4.30E-03,4.30E-03,4.30E-03
4438,49.9,0,0,1.143,0,43.86,1600,180,1.935,5.04E-02,9.92E-02,0.16,5.44E-02,5.44E-02,5.44E-02,5.44E-02,0.1,7.9,6.567,19.96,2.72E-04,2.72E-04,2.72E-04,2.72E-04,4.35E-03,4.35E-03,4.35E-03,4.35E-03
4439,49.85,0,0,1.143,0,44.29,1600,180,2.058,5.08E-02,9.86E-02,0.16,5.50E-02,5.50E-02,5.50E-02,5.50E-02,0.1,7.9,6.558,19.94,2.75E-04,2.75E-04,2.75E-04,2.75E-04,4.40E-03,4.40E-03,4.40E-03,4.40E-03
4440,49.8,0,0,1.142,0,44.71,1600,180,2.182,5.11E-02,9.81E-02,0.16,5.56E-02,5.56E-02,5.56E-02,5.56E-02,0.1,7.9,6.549,19.92,2.78E-04,2.78E-04,2.78E-04,2.78E-04,4.45E-03,4.45E-03,4.45E-03,4.45E-03
4441,49.75,0,0,1.141,0,45.14,1600,180,2.306,5.15E-02,9.75E-02,0.16,5.62E-02,5.62E-02,5.62E-02,5.62E-02,0.1,7.9,6.54,19.89,2.81E-04,2.81E-04,2.81E-04,2.81E-04,4.49E-03,4.49E-03,4.49E-03,4.49E-03
4442,49.7,0,0,1.141,0,45.57,1600,180,2.429,5.18E-02,9.69E-02,0.16,5.68E-02,5.68E-02,5.68E-02,5.68E-02,0.1,7.9,6.531,19.87,2.84E-04,2.84E-04,2.84E-04,2.84E-04,4.54E-03,4.54E-03,4.54E-03,4.54E-03
4443,49.65,0,0,1.14,0,46,1600,180,2.553,5.21E-02,9.63E-02,0.16,5.74E-02,5.74E-02,5.74E-02,5.74E-02,0.1,7.9,6.523,19.85,2.87E-04,2.87E-04,2.87E-04,2.87E-04,4.59E-03,4.59E-03,4.59E-03,4.59E-03
4444,49.6,0,0,1.139,0,46.43,1600,180,2.677,5.25E-02,9.57E-02,0.16,5.80E-02,5.80E-02,5.80E-02,5.80E-02,0.1,7.9,6.514,19.83,2.90E-04,2.90E-04,2.90E-04,2.90E-04,4.64E-03,4.64E-03,4.64E-03,4.64E-03
4445,49.55,0,0,1.139,0,46.86,1600,180,2.8,5.28E-02,9.51E-02,0.16,5.86E-02,5.86E-02,5.86E-02,5.86E-02,0.1,7.9,6.505,19.81,2.93E-04,2.93E-04,2.93E-04,2.93E-04,4.69E-03,4.69E-03,4.69E-03,4.69E-03
4446,49.5,0,0,1.138,0,47.29,1600,180,2.924,5.31E-02,9.45E-02,0.16,5.92E-02,5.92E-02,5.92E-02,5.92E-02,0.1,7.9,6.496,19.79,2.96E-04,2.96E-04,2.96E-04,2.96E-04,4.73E-03,4.73E-03,4.73E-03,4.73E-03
4447,49.45,0,0,1.137,0,47.71,1600,180,3.048,5.35E-02,9.39E-02,0.16,5.98E-02,5.98E-02,5.98E-02,5.98E-02,0.1,7.9,6.487,19.77,2.99E-04,2.99E-04,2.99E-04,2.99E-04,4.78E-03,4.78E-03,4.78E-03,4.78E-03
4448,49.39,0,0,1.137,0,48.14,1600,180,3.171,5.38E-02,9.33E-02,0.16,6.04E-02,6.04E-02,6.04E-02,6.04E-02,0.1,7.9,6.478,19.75,3.02E-04,3.02E-04,3.02E-04,3.02E-04,4.83E-03,4.83E-03,4.83E-03,4.83E-03
4449,49.34,0,0,1.136,0,48.57,1600,180,3.295,5.41E-02,9.28E-02,0.16,6.10E-02,6.10E-02,6.10E-02,6.10E-02,0.1,7.9,6.469,19.72,3.05E-04,3.05E-04,3.05E-04,3.05E-04,4.88E-03,4.88E-03,4.88E-03,4.88E-03
4450,49.29,0,0,1.135,0,49,1600,180,3.418,5.45E-02,9.22E-02,0.16,6.16E-02,6.16E-02,6.16E-02,6.16E-02,0.1,7.9,6.461,19.7,3.08E-04,3.08E-04,3.08E-04,3.08E-04,4.93E-03,4.93E-03,4.93E-03,4.93E-03
4451,49.24,0,0,1.134,0,48.63,1600,180,3.542,5.48E-02,9.16E-02,0.16,6.22E-02,6.22E-02,6.22E-02,6.22E-02,0.1,7.9,6.452,19.68,3.11E-04,3.11E-04,3.11E-04,3.11E-04,4.97E-03,4.97E-03,4.97E-03,4.97E-03
4452,49.19,0,0,1.134,0,48.26,1600,180,3.666,5.52E-02,9.10E-02,0.16,6.28E-02,6.28E-02,6.28E-02,6.28E-02,0.1,7.9,6.444,19.66,3.14E-04,3.14E-04,3.14E-04,3.14E-04,5.02E-03,5.02E-03,5.02E-03,5.02E-03
4453,49.14,0,0,1.133,0,47.89,1600,180,3.789,5.55E-02,9.04E-02,0.16,6.34E-02,6.34E-02,6.34E-02,6.34E-02,0.1,7.9,6.437,19.64,3.17E-04,3.17E-04,3.17E-04,3.17E-04,5.07E-03,5.07E-03,5.07E-03,5.07E-03
4454,49.09,0,0,1.132,0,47.51,1600,180,3.913,5.58E-02,8.98E-02,0.16,6.40E-02,6.40E-02,6.40E-02,6.40E-02,0.1,7.9,6.429,19.62,3.20E-04,3.20E-04,3.20E-04,3.20E-04,5.12E-03,5.12E-03,5.12E-03,5.12E-03
4455,49.04,0,0,1.132,0,47.14,1600,180,4.037,5.62E-02,8.92E-02,0.16,6.46E-02,6.46E-02,6.46E-02,6.46E-02,0.1,7.9,6.421,19.6,3.23E-04,3.23E-04,3.23E-04,3.23E-04,5.17E-03,5.17E-03,5.17E-03,5.17E-03
4456,48.99,0,0,1.131,0,46.77,1600,180,4.16,5.65E-02,8.86E-02,0.16,6.52E-02,6.52E-02,6.52E-02,6.52E-02,0.1,7.9,6.414,19.58,3.26E-04,3.26E-04,3.26E-04,3.26E-04,5.21E-03,5.21E-03,5.21E-03,5.21E-03
4457,48.94,0,0,1.13,0,46.4,1600,180,4.284,5.68E-02,8.81E-02,0.16,6.58E-02,6.58E-02,6.58E-02,6.58E-02,0.1,7.9,6.406,19.56,3.29E-04,3.29E-04,3.29E-04,3.29E-04,5.26E-03,5.26E-03,5.26E-03,5.26E-03
4458,48.89,0,0,1.13,0,46.03,1600,180,4.408,5.72E-02,8.75E-02,0.16,6.64E-02,6.64E-02,6.64E-02,6.64E-02,0.1,7.9,6.398,19.53,3.32E-04,3.32E-04,3.32E-04,3.32E-04,5.31E-03,5.31E-03,5.31E-03,5.31E-03
4459,48.84,0,0,1.129,0,45.66,1600,180,4.531,5.75E-02,8.69E-02,0.16,6.70E-02,6.70E-02,6.70E-02,6.70E-02,0.1,7.9,6.391,19.51,3.35E-04,3.35E-04,3.35E-04,3.35E-04,5.36E-03,5.36E-03,5.36E-03,5.36E-03
4460,48.79,0,0,1.128,0,45.29,1600,180,4.655,5.78E-02,8.63E-02,0.16,6.76E-02,6.76E-02,6.76E-02,6.76E-02,0.1,7.9,6.383,19.49,3.38E-04,3.38E-04,3.38E-04,3.38E-04,5.41E-03,5.41E-03,5.41E-03,5.41E-03
4461,48.74,0,0,1.128,0,44.91,1600,180,4.779,5.82E-02,8.57E-02,0.16,6.82E-02,6.82E-02,6.82E-02,6.82E-02,0.1,7.9,6.375,19.47,3.41E-04,3.41E-04,3.41E-04,3.41E-04,5.45E-03,5.45E-03,5.45E-03,5.45E-03
4462,48.69,0,0,1.127,0,44.54,1600,180,4.902,5.85E-02,8.51E-02,0.16,6.88E-02,6.88E-02,6.88E-02,6.88E-02,0.1,7.9,6.368,19.45,3.44E-04,3.44E-04,3.44E-04,3.44E-04,5.50E-03,5.50E-03,5.50E-03,5.50E-03
