$ BONNEVILLE-DAM AT COLUMBIA RIVER TAILWATER_TWELEV.csv based on BONNEVILLE-DAM AT COLUMBIA RIVER TAILWATER/ELEV-TAILWATER NAVD88 from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  feet ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","BONNEVILLE.DAM.AT.COLUMBIA.RIVER.TAILWATER_TWELEV"
40670,21.75
40671,21
40672,20.47
40673,24.43
40674,24.67
40675,23.02
40676,24.6
40677,26.74
40678,26.74
40679,28.94
40680,31.24
40681,34.02
40682,33.39
40683,32.7
40684,31.53
40685,31.69
40686,31.9
40687,33.08
40688,32.17
40689,32.52
40690,31.69
40691,32.71
40692,33.39
40693,32.47
40694,31.92
40695,31.93
40696,31.56
40697,31.63
40698,32.34
40699,33.69
40700,32.62
40701,33.17
40702,32.82
40703,34.15
40704,35.29
40705,35.26
40706,34.81
40707,35.36
40708,35.55
40709,35.22
40710,35.41
40711,35.64
40712,35.33
40713,34.4
40714,34.13
40715,34.4
40716,34
40717,34.29
40718,33.47
40719,34.93
40720,35.33
40721,34.07
40722,33.22
40723,32.79
40724,32.02
40725,33.05
40726,34.54
40727,34.5
40728,34.38
40729,35.51
40730,34.01
40731,34.22
40732,34.9
40733,34.86
40734,34.88
40735,33.05
40736,33
40737,31.46
40738,31.23
40739,31.55
40740,31.26
40741,29.95
40742,29.35
40743,29.8
40744,28.54
40745,28.22
40746,28.1
40747,28.23
40748,27.71
40749,26.44
40750,26.02
40751,25.79
40752,24.98
40753,25.54
40754,24.71
40755,25.53
40756,24.79
40757,23.21
40758,23.67
40759,23.11
40760,23.84
40761,22.88
40762,20.63
40763,20.71
40764,22.07
40765,20.4
40766,21.57
40767,20.14
40768,20.42
40769,19.76
40770,19.38
40771,20.87
40772,19.79
40773,18.93
40774,17.89
40775,18.76
40776,16.54
40777,17.86
40778,18.38
40779,18.05
40780,18.48
40781,18.86
40782,17.29
40783,16.92
40784,17.14
40785,17.19
40786,18.01
40787,15.82
40788,15.36
40789,14.87
40790,13.28
40791,13.24
40792,15.1
40793,15.02
40794,14.5
40795,13.54
40796,15.28
40797,14.15
40798,13.41
40799,14.37
40800,13.35
40801,13.27
40802,14
40803,14.54
40804,14.72
40805,14.31
40806,13.77
40807,15.4
40808,14.38
40809,13.28
40810,13.52
40811,13.42
40812,14.16
40813,14.38
40814,14.36
40815,15.2
40816,13.29
40817,14.51
40818,14.55
40819,14.25
40820,15.97
40821,15.54
40822,15.94
40823,16.72
40824,15.43
40825,15.78
40826,16.54
40827,17.67
40828,16.15
40829,14.42
40830,16.54
40831,15.85
40832,16.25
40833,14.94
40834,14.74
40835,15.53
40836,14.15
40837,15.25
40838,14.55
40839,14.51
40840,14.28
40841,15.71
40842,14.34
40843,15.17
40844,15.86
40845,13.94
40846,13.62
40847,14.18
40848,14.94
40849,15.86
40850,16.16
40851,15.45
40852,16.9
40853,17.42
40854,15.95
40855,17
40856,16.37
40857,16.51
40858,16.44
40859,16.26
40860,15.41
40861,15.67
40862,17.08
40863,16.64
40864,17.24
40865,15.78
40866,16.14
40867,16.27
40868,15.49
40869,15.59
40870,16.91
40871,17.73
40872,18.59
40873,18.56
40874,17.9
40875,17.59
40876,17.31
40877,16.65
40878,15.99
40879,17.1
40880,16.62
40881,16.15
40882,15.53
40883,16.37
40884,16.34
40885,15.86
40886,15.54
40887,16.37
40888,17.11
40889,14.95
40890,16.15
40891,14.63
40892,16.19
40893,16.21
40894,15.89
40895,15.52
40896,15.5
40897,15.17
40898,16.42
40899,14.59
40900,16.57
40901,15.34
40902,14.89
40903,15.34
40904,15.93
40905,14.98
40906,16.79
40907,15.7
40908,19.1
40909,18.82
40910,20.44
40911,16.74
40912,17.49
