$Little Spokane River inflow 01/01/2000 to 12/31/2000,,
,,
Jday,Q,
40.417,21.699,
40.458,21.819,
40.5,21.939,
40.542,22.059,
40.583,22.059,
40.625,22.059,
40.667,22.19,
40.708,22.19,
40.75,22.309,
40.792,22.309,
40.833,22.309,
40.875,22.309,
40.917,22.309,
40.958,22.309,
41,22.309,
41.042,22.429,
41.083,22.429,
41.125,22.429,
41.167,22.56,
41.208,22.429,
41.25,22.429,
41.292,22.309,
41.333,22.19,
41.375,22.059,
41.417,22.059,
41.458,22.059,
41.5,22.059,
41.542,22.059,
41.583,22.059,
41.625,22.059,
41.667,22.059,
41.708,21.939,
41.75,21.939,
41.792,21.819,
41.833,21.699,
41.875,21.699,
41.917,21.699,
41.958,21.699,
42,21.819,
42.042,21.819,
42.083,21.699,
42.125,21.699,
42.167,21.579,
42.208,21.579,
42.25,21.579,
42.292,21.579,
42.333,21.579,
42.375,21.579,
42.417,21.448,
42.458,21.448,
42.5,21.318,
42.542,21.318,
42.583,21.318,
42.625,21.318,
42.667,21.318,
42.708,21.318,
42.75,21.318,
42.792,21.318,
42.833,21.318,
42.875,21.187,
42.917,21.187,
42.958,21.318,
43,21.318,
43.042,21.318,
43.083,21.318,
43.125,21.318,
43.167,21.187,
43.208,21.067,
43.25,21.067,
43.292,21.187,
43.333,21.187,
43.375,21.187,
43.417,21.187,
43.458,21.187,
43.5,21.187,
43.542,21.067,
43.583,21.067,
43.625,21.067,
43.667,21.067,
43.708,21.067,
43.75,21.067,
43.792,21.067,
43.833,21.067,
43.875,21.067,
43.917,21.067,
43.958,20.936,
44,20.936,
44.042,20.936,
44.083,20.936,
44.125,21.067,
44.167,20.936,
44.208,20.936,
44.25,20.936,
44.292,20.936,
44.333,20.936,
44.375,20.936,
44.417,20.816,
44.458,20.816,
44.5,20.816,
44.542,20.816,
44.583,20.685,
44.625,20.816,
44.667,20.685,
44.708,20.565,
44.75,20.565,
44.792,20.565,
44.833,20.565,
44.875,20.565,
44.917,20.565,
44.958,20.565,
45,20.565,
45.042,20.565,
45.083,20.565,
45.125,20.565,
45.167,20.565,
45.208,20.565,
45.25,20.565,
45.292,20.565,
45.333,20.565,
45.375,20.565,
45.417,20.565,
45.458,20.565,
45.5,20.565,
45.542,20.565,
45.583,20.565,
45.625,20.565,
45.667,20.565,
45.708,20.435,
45.75,20.435,
45.792,20.435,
45.833,20.435,
45.875,20.435,
45.917,20.435,
45.958,20.435,
46,20.435,
46.042,20.435,
46.083,20.435,
46.125,20.315,
46.167,20.315,
46.208,20.315,
46.25,20.315,
46.292,20.315,
46.333,20.195,
46.375,20.195,
46.417,20.075,
46.458,20.075,
46.5,20.075,
46.542,20.075,
46.583,20.075,
46.625,20.075,
46.667,20.075,
46.708,20.075,
46.75,20.075,
46.792,19.955,
46.833,19.955,
46.875,19.955,
46.917,19.955,
46.958,19.955,
47,19.955,
47.042,19.955,
47.083,19.955,
47.125,19.955,
47.167,19.955,
47.208,19.955,
47.25,19.955,
47.292,19.955,
47.333,19.835,
47.375,19.835,
47.417,19.715,
47.458,19.595,
47.5,19.595,
47.542,19.595,
47.583,19.595,
47.625,19.475,
47.667,19.356,
47.708,19.356,
47.75,19.475,
47.792,19.356,
47.833,19.356,
47.875,19.475,
47.917,19.356,
47.958,19.356,
48,19.356,
48.042,19.356,
48.083,19.236,
48.125,19.116,
48.167,19.116,
48.208,19.116,
48.25,18.996,
48.292,18.996,
48.333,18.876,
48.375,18.636,
48.417,18.516,
48.458,18.287,
48.5,18.058,
48.542,17.83,
48.583,17.721,
48.625,17.949,
48.667,18.167,
48.708,18.407,
48.75,18.516,
48.792,18.636,
48.833,18.876,
48.875,18.996,
48.917,18.996,
48.958,18.996,
49,18.876,
49.042,18.636,
49.083,18.636,
49.125,18.516,
49.167,18.287,
49.208,18.058,
49.25,17.949,
49.292,17.721,
49.333,17.503,
49.375,17.176,
49.417,16.859,
49.458,16.859,
49.5,17.067,
49.542,17.285,
49.583,17.612,
49.625,17.721,
49.667,17.83,
49.708,17.949,
49.75,18.058,
49.792,18.058,
49.833,18.167,
49.875,18.287,
49.917,18.407,
49.958,18.407,
50,18.407,
50.042,18.407,
50.083,18.407,
50.125,18.167,
50.167,18.058,
50.208,17.949,
50.25,17.612,
50.292,17.285,
50.333,17.176,
50.375,17.176,
50.417,17.067,
50.458,17.067,
50.5,17.067,
50.542,17.285,
50.583,17.612,
50.625,17.949,
50.667,18.407,
50.708,18.516,
50.75,18.516,
50.792,18.407,
50.833,18.287,
50.875,18.287,
50.917,18.287,
50.958,18.407,
51,18.167,
51.042,18.167,
51.083,18.167,
51.125,18.058,
51.167,18.058,
51.208,17.949,
51.25,17.721,
51.292,17.503,
51.333,17.285,
51.375,17.285,
51.417,17.285,
51.458,17.285,
51.5,17.394,
51.542,17.612,
51.583,17.949,
51.625,18.167,
51.667,18.167,
51.708,18.167,
51.75,18.167,
51.792,18.167,
51.833,18.167,
51.875,18.167,
51.917,18.407,
51.958,18.287,
52,18.407,
52.042,18.407,
52.083,18.516,
52.125,18.516,
52.167,18.516,
52.208,18.516,
52.25,18.516,
52.292,18.516,
52.333,18.516,
52.375,18.516,
52.417,18.516,
52.458,18.516,
52.5,18.407,
52.542,18.407,
52.583,18.407,
52.625,18.407,
52.667,18.407,
52.708,18.407,
52.75,18.407,
52.792,18.407,
52.833,18.287,
52.875,18.287,
52.917,18.407,
52.958,18.407,
53,18.287,
53.042,18.287,
53.083,18.287,
53.125,18.407,
53.167,18.407,
