$ QGT_BON_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_BON_2011_2015_daily_ave.csv ; all outlets scaled to total flow from BONNEVILLE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41557, 41593, 41600, 41661, 41678, 41687, 41718, 41754, 41823, 41830, 41836, 41845, 41867, 41958, 41971, 41978, 41993, 42154, 42242, 42264, 42296 that are  1009, 13, 2, 3, 3, 2, 2, 3, 2, 3, 3, 6, 2, 3, 3, 2, 2, 2, 2, 14, 4, 20 days long
"JDAY","POWR1","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","MISC"
40621,6080.619,58.398,45.257,43.29,40.276,39.935,30.955,38.415,37.914,14.019,37.921,37.82,31.822,38.56,39.954,35.147,44.035,0,58.948,0
40622,6157.479,60.777,52.404,49.708,49.765,49.709,49.862,48.363,48.192,4.847,48.33,48.08,48.206,48.831,49.817,50.073,49.922,0,61.756,0
40623,7018.452,22.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.399,0
40624,5858.595,17.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.867,0
40625,5829.838,30.14,26.038,21.255,14.699,14.727,14.341,8.567,14.755,7.926,15.251,6.793,13.368,7.757,15.132,9.46,20.599,0,30.441,0
40626,5629.31,16.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.773,0
40627,6649.256,20.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.563,0
40628,6460.95,18.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.866,0
40629,6195.051,17.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.914,0
40630,6473.029,37.043,14.672,14.656,11.498,11.701,5.632,11.838,9.217,11.583,10.948,5.581,6.436,9.487,10.299,11.566,14.309,1.827,37.625,0
40631,7063.19,21.188,1.492,1.507,1.312,1.197,0.77,1.415,0.883,1.407,1.237,0.721,0.832,0.871,0.972,1.42,1.524,0,22.289,0
40632,6277.603,34.444,26.724,21.653,19.196,16.693,10.188,12.758,12.094,11.399,15.241,10.931,17.18,12.882,19.468,14.897,24.118,0,34.809,0
40633,5705.453,35.809,34.149,27.373,22.751,21.847,20.278,22.666,21.628,22.056,23.194,21.098,22.139,22.546,22.862,23.187,28.145,0,35.592,0
40634,6022.785,35.834,41.74,28.534,26.175,26.246,25.469,26.308,26.237,20.631,26.166,25.502,26.309,26.325,26.193,26.33,36.569,0,36.135,0
40635,7114.065,41.552,40.329,30.802,30.655,20.805,20.775,30.744,20.917,22.25,20.924,18.739,30.365,20.4,20.973,30.868,35.628,0,41.901,0
40636,7052.188,43.336,38.679,31.476,31.155,19.945,19.811,25.598,19.978,25.688,20.102,12.739,30.199,14.093,20.148,25.637,36.908,0,43.849,0
40637,7897.439,42.119,45.464,28.812,23.705,23.446,23.227,7.523,23.475,6.652,23.623,5.621,22.736,6.253,23.678,7.868,27.061,0,42.653,0
40638,9261.908,63.262,58.327,47.941,37.068,34.474,30.424,26.33,34.676,26.537,45.08,18.597,30.705,24.353,34.709,26.663,48.339,0,63.728,0
40639,9561.05,51.273,45.753,32.553,37.202,27.711,23.191,20.742,23.432,20.974,28.875,9.696,32.414,11.271,28.041,20.883,41.696,0,52.141,0
40640,9940.859,71.161,55.73,49.501,39.714,42.3,19.581,38.9,40.248,16.729,41.75,34.117,20.913,40.6,41.352,29.031,52.393,0,72.26,0
40641,9228.311,84.043,67.151,66.89,43.839,42.19,41.999,43.283,39.924,43.387,44.828,38.483,42.399,46.951,40.002,43.425,67.136,0,84.678,0
40642,8467.407,71.207,55.185,52.282,49.018,33.936,40.887,37.235,29.902,43.127,37.633,37.989,41.854,44.273,34.309,49.957,52.341,62.415,72.148,0
40643,4380.327,259.04,259.256,259.39,217.82,218.152,214.404,189.308,189.593,210.014,175.102,174.921,218.619,187.527,217.145,217.867,258.931,258.196,258.673,0
40644,4335.859,295.17,295.254,295.473,248.328,248.897,244.676,226.706,226.937,233.027,199.234,199.518,248.622,225.718,247.622,248.177,295.079,292.806,294.925,0
40645,4063.775,321.238,321.539,321.648,270.777,271.002,266.586,247.798,248.321,252.053,216.852,217.078,271.74,246.923,269.544,270.256,321.284,318.852,321.029,0
40646,4424.843,272.555,272.74,272.882,229.462,230.093,212.87,199.466,207.082,222.899,185.078,184.357,229.918,200.109,228.728,229.248,272.543,270.348,272.346,0
40647,4180.685,282.419,282.514,282.706,237.549,238.537,215.583,202.08,208.95,235.374,194,191.16,237.988,204.177,236.991,237.512,282.332,280.094,282.188,0
