$BON Elev-Tailwater CBT-REV [NAVD88],,
CY2011 - 2015,,12/31/2010
JDAY,ElevFT,
40975,19.176772,
40976,18.489272,
40977,18.98093867,
40978,17.601772,
40979,18.001772,
40980,19.23510533,
40981,20.414272,
40982,20.951772,
40983,21.101772,
40984,22.68510533,
40985,23.23510533,
40986,22.864272,
40987,22.79760533,
40988,21.83093867,
40989,22.89760533,
40990,23.81010533,
40991,23.239272,
40992,24.04760533,
40993,24.514272,
40994,24.28510533,
40995,23.489272,
40996,25.51843867,
40997,26.001772,
40998,28.251772,
40999,30.10593867,
41000,29.74760533,
41001,29.74343867,
41002,29.75593867,
41003,28.98510533,
41004,26.86010533,
41005,26.98510533,
41006,28.44343867,
41007,27.939272,
41008,26.576772,
41009,24.66010533,
41010,26.551772,
41011,26.68510533,
41012,26.16843867,
41013,26.95593867,
41014,26.03510533,
41015,25.63093867,
41016,26.34343867,
41017,26.62260533,
41018,27.314272,
41019,27.29343867,
41020,27.439272,
41021,27.93510533,
41022,29.401772,
41023,29.639272,
41024,30.326772,
41025,32.926772,
41026,32.08510533,
41027,32.314272,
41028,32.13093867,
41029,31.34760533,
41030,31.26010533,
41031,31.851772,
41032,31.439272,
41033,32.151772,
41034,31.10593867,
41035,31.19760533,
41036,30.07260533,
41037,29.18510533,
41038,28.376772,
41039,28.99760533,
41040,28.64343867,
41041,28.52260533,
41042,27.59760533,
41043,26.43510533,
41044,27.61010533,
41045,27.576772,
41046,27.97260533,
41047,29.45593867,
41048,30.14343867,
41049,29.54343867,
41050,29.46843867,
41051,28.58093867,
41052,29.74760533,
41053,29.83510533,
41054,29.29760533,
41055,29.43510533,
41056,27.54760533,
41057,26.98510533,
41058,25.99760533,
41059,26.726772,
41060,25.37260533,
41061,25.426772,
41062,24.88093867,
41063,25.21843867,
41064,26.19343867,
41065,26.651772,
41066,27.47260533,
41067,28.89343867,
41068,28.464272,
41069,29.476772,
41070,28.801772,
41071,28.11010533,
41072,28.46843867,
41073,28.47260533,
41074,28.25593867,
41075,28.36843867,
41076,27.376772,
41077,27.176772,
41078,27.476772,
41079,28.49343867,
41080,29.114272,
41081,28.99760533,
41082,28.47260533,
41083,29.364272,
41084,28.939272,
41085,31.06843867,
41086,30.55593867,
41087,31.74343867,
41088,31.14343867,
41089,30.39760533,
41090,30.689272,
41091,31.039272,
41092,30.214272,
41093,29.35593867,
41094,28.01010533,
41095,29.289272,
41096,29.14760533,
41097,27.98093867,
41098,27.10593867,
41099,27.614272,
41100,27.701772,
41101,28.11010533,
41102,28.06843867,
41103,27.48510533,
41104,28.07260533,
41105,27.00593867,
41106,28.564272,
41107,28.03510533,
41108,26.14760533,
41109,25.88093867,
41110,25.52260533,
41111,27.91843867,
41112,27.81010533,
41113,27.39760533,
41114,26.76010533,
41115,25.13093867,
41116,25.414272,
41117,25.48510533,
41118,23.76843867,
41119,23.89343867,
41120,22.94343867,
41121,23.93510533,
41122,23.851772,
41123,22.48093867,
41124,22.614272,
41125,22.58093867,
41126,21.70593867,
41127,21.44760533,
41128,21.99760533,
41129,20.626772,
41130,20.91010533,
41131,20.101772,
41132,19.63510533,
41133,21.50593867,
41134,21.839272,
41135,19.65593867,
41136,19.289272,
41137,19.48510533,
41138,18.90593867,
41139,20.06010533,
41140,18.88510533,
41141,19.74343867,
41142,19.351772,
41143,19.90593867,
41144,19.38510533,
41145,19.439272,
41146,19.19343867,
41147,17.89760533,
41148,18.83093867,
41149,17.49343867,
41150,17.65593867,
41151,17.42260533,
41152,17.914272,
41153,17.05593867,
41154,14.96010533,
41155,13.33510533,
41156,14.24760533,
41157,15.89760533,
41158,17.389272,
41159,14.951772,
41160,14.40593867,
41161,13.001772,
41162,13.45593867,
41163,13.951772,
41164,15.20593867,
41165,13.32260533,
41166,13.101772,
41167,14.19343867,
41168,14.53093867,
41169,14.176772,
41170,14.49635533,
41171,15.72260533,
41172,14.39343867,
41173,13.86010533,
41174,13.23010533,
41175,13.82260533,
41176,13.03093867,
41177,12.96843867,
41178,13.401772,
41179,12.601772,
41180,13.81843867,
41181,14.18093867,
41182,12.64343867,
41183,11.939272,
41184,12.11010533,
41185,13.36843867,
41186,12.84343867,
41187,11.05593867,
41188,10.58093867,
41189,10.239272,
41190,10.73510533,
41191,13.151772,
41192,12.45593867,
41193,12.06010533,
41194,11.38510533,
41195,10.86010533,
41196,11.00593867,
41197,11.90593867,
41198,12.551772,
41199,12.36010533,
41200,12.58093867,
41201,11.81010533,
41202,11.751772,
41203,12.61010533,
41204,13.839272,
41205,14.21010533,
41206,13.889272,
41207,14.43093867,
41208,15.51010533,
41209,14.689272,
41210,13.939272,
41211,16.27260533,
41212,16.65593867,
41213,16.351772,
41214,15.81843867,
41215,15.601772,
41216,14.96010533,
41217,15.4093807,
41218,15.07260533,
41219,14.86010533,
41220,14.79760533,
41221,14.839272,
41222,14.84343867,
41223,15.56010533,
41224,15.639272,
41225,16.19760533,
41226,16.28093867,
41227,16.89343867,
41228,16.714272,
41229,16.43093867,
41230,16.351772,
41231,16.551772,
41232,16.98510533,
41233,18.41010533,
41234,18.00593867,
41235,17.93093867,
41236,17.57260533,
41237,17.73510533,
41238,17.69343867,
41239,17.72260533,
41240,17.576772,
41241,17.55593867,
41242,17.45593867,
41243,17.54760533,
41244,18.276772,
41245,18.851772,
41246,19.226772,
41247,20.026772,
41248,21.16843867,
41249,21.501772,
41250,21.751772,
41251,21.751772,
41252,21.751772,
41253,20.47260533,
41254,21.02260533,
41255,21.076772,
41256,21.851772,
41257,21.89343867,
41258,21.01843867,
41259,20.69760533,
41260,20.19760533,
41261,21.75593867,
41262,21.05593867,
41263,19.36010533,
41264,19.59760533,
41265,20.24343867,
41266,19.076772,
41267,18.31010533,
41268,18.18510533,
41269,18.15593867,
41270,18.84343867,
41271,19.064272,
41272,19.04760533,
41273,20.80593867,
41274,20.614272,
41275,19.289272,
41276,20.69760533,
41277,19.34343867,
