0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,824116296,668122.95,25.506,83.681,1,1
0.5,0,580.904,453.678,800.834,642.927,1196.534,959.432,790.434,1063.851,1175.492,1009.327,1377.696,1676.752,1972.663,1131.402,1516.253,1800.278,1381.324,1539.438,1175.319,1258.108,1731.794,1213.016,1054.936,1384.399,1294.458,1414.218,1382.222,1659.89,668.081,672.815,747.864,899.275,1407.308,1509.792,1898.823,1651.182,1069.587,1136.412,931.444,1186.583,1565.491,1446.94,1855.77,1567.599,336.373,807.295,1946.852,1806.567,1435.745,1846.51,2265.05,1608.889,1354.441,1423.962,1726.093,1744.855,1734.662,1936.417,1622.192,351.818,732.246,665.352,1310.628,1283.85,1633.56,1818.833,1597.141,1358.761,1590.818,1603.81,910.678,1082.959,840.155,1038.8,1249.781,0,,16,49732825.4,487135064.8,394927.413,21.006,68.917,1,1.04
0.5,0,558.562,436.229,770.033,618.199,1150.514,922.531,760.032,1022.934,1130.28,970.506,1324.707,1612.261,1896.791,1087.887,1457.936,1731.037,1328.196,1480.229,1130.114,1209.719,1665.187,1166.362,1014.362,1331.153,1244.671,1359.825,1329.06,1596.048,642.386,646.938,719.1,864.688,1353.18,1451.723,1825.792,1587.675,1028.449,1092.704,895.619,1140.945,1505.28,1391.288,1784.395,1507.306,323.436,776.246,1871.973,1737.084,1380.524,1775.491,2177.933,1547.009,1302.348,1369.194,1659.705,1677.746,1667.944,1861.939,1559.8,338.287,704.083,639.761,1260.22,1234.471,1570.731,1748.878,1535.713,1306.501,1529.633,1542.125,875.652,1041.307,807.842,998.846,1201.712,0,,17,47820024.42,462268652.1,374767.854,20.506,67.276,1,1.04
0.5,0,537.079,419.451,740.416,594.422,1106.263,887.049,730.8,983.59,1086.808,933.179,1273.757,1550.251,1823.838,1046.045,1401.861,1664.459,1277.111,1423.297,1086.648,1163.191,1601.141,1121.502,975.348,1279.955,1196.799,1307.524,1277.942,1534.661,617.679,622.056,691.443,831.431,1301.135,1395.887,1755.569,1526.611,988.893,1050.677,861.172,1097.063,1447.384,1337.777,1715.764,1449.333,310.996,746.39,1799.974,1670.273,1327.427,1707.202,2094.166,1487.509,1252.257,1316.533,1595.87,1613.217,1603.793,1790.326,1499.808,325.276,677.003,615.155,1211.75,1186.991,1510.318,1681.614,1476.647,1256.251,1470.801,1482.813,841.973,1001.256,776.771,960.429,1155.492,0,,18,45980792.71,438358639.9,355383.662,20.006,65.636,1,1.04
0.5,0,516.422,403.318,711.938,571.56,1063.715,852.932,702.693,945.76,1045.008,897.288,1224.766,1490.626,1753.69,1005.812,1347.943,1600.441,1227.992,1368.555,1044.854,1118.453,1539.559,1078.367,937.835,1230.726,1150.768,1257.235,1228.79,1475.636,593.922,598.13,664.849,799.453,1251.091,1342.199,1688.047,1467.895,950.859,1010.266,828.05,1054.868,1391.716,1286.324,1649.773,1393.59,299.034,717.683,1730.744,1606.031,1276.372,1641.541,2013.621,1430.297,1204.094,1265.897,1534.491,1551.17,1542.108,1721.468,1442.123,312.765,650.964,591.495,1165.144,1141.338,1452.229,1616.936,1419.853,1207.933,1414.232,1425.781,809.589,962.747,746.895,923.49,1111.05,0,,19,44212300.69,415368243.6,336745.017,19.506,63.996,1,1.04
0.5,0,496.559,387.806,684.556,549.577,1022.803,820.127,675.666,909.384,1004.815,862.777,1177.66,1433.294,1686.241,967.127,1296.099,1538.885,1180.761,1315.918,1004.668,1075.436,1480.345,1036.891,901.764,1183.39,1106.508,1208.88,1181.529,1418.881,571.079,575.125,639.278,768.704,1202.972,1290.576,1623.122,1411.438,914.287,971.41,796.202,1014.296,1338.188,1236.85,1586.32,1339.99,287.533,690.079,1664.177,1544.261,1227.281,1578.405,1936.174,1375.285,1157.782,1217.209,1475.472,1491.51,1482.797,1655.257,1386.657,300.736,625.927,568.746,1120.331,1097.44,1396.374,1554.746,1365.243,1161.474,1359.838,1370.944,778.451,925.718,718.168,887.971,1068.318,0,,20,42511827.58,393262093.2,318823.243,19.006,62.355,1,1.04
0.5,0,477.461,372.89,658.227,528.439,983.464,788.583,649.679,874.408,966.168,829.593,1132.365,1378.168,1621.385,929.93,1246.249,1479.698,1135.347,1265.306,966.026,1034.073,1423.409,997.011,867.081,1137.875,1063.95,1162.384,1136.086,1364.308,549.114,553.005,614.69,739.139,1156.704,1240.939,1560.694,1357.152,879.122,934.048,765.579,975.285,1286.719,1189.279,1525.308,1288.452,276.474,663.538,1600.17,1484.866,1180.077,1517.697,1861.706,1322.39,1113.252,1170.393,1418.723,1434.144,1425.766,1591.594,1333.324,289.169,601.853,546.871,1077.241,1055.231,1342.667,1494.948,1312.734,1116.802,1307.537,1318.215,748.511,890.113,690.546,853.818,1027.229,0,,21,40876757.29,372006179.4,301590.767,18.506,60.715,1,1.04
0.5,0,459.097,358.548,632.911,508.114,945.639,758.253,624.691,840.777,929.008,797.685,1088.813,1325.161,1559.024,894.164,1198.317,1422.786,1091.68,1216.64,928.872,994.301,1368.662,958.664,833.732,1094.111,1023.029,1117.677,1092.39,1311.835,527.995,531.736,591.048,710.71,1112.216,1193.21,1500.668,1304.953,845.31,898.123,736.134,937.774,1237.23,1143.538,1466.642,1238.896,265.841,638.017,1538.625,1427.756,1134.69,1459.324,1790.102,1271.529,1070.435,1125.378,1364.156,1378.985,1370.929,1530.378,1282.042,278.047,578.705,525.837,1035.809,1014.645,1291.026,1437.45,1262.244,1073.848,1257.247,1267.515,719.722,855.878,663.987,820.979,987.72,0,,22,39304574.32,351567800.8,285021.079,18.006,59.074,1,1.04
0.5,0,441.44,344.758,608.568,488.572,909.268,729.09,600.665,808.439,893.277,767.005,1046.935,1274.193,1499.062,859.773,1152.228,1368.064,1049.692,1169.846,893.146,956.059,1316.021,921.793,801.665,1052.029,983.681,1074.69,1050.375,1261.38,507.687,511.284,568.315,683.375,1069.438,1147.318,1442.95,1254.763,812.798,863.58,707.821,901.706,1189.644,1099.555,1410.233,1191.246,255.616,613.478,1479.448,1372.842,1091.048,1403.196,1721.252,1222.624,1029.264,1082.094,1311.689,1325.947,1318.201,1471.518,1232.733,267.353,556.447,505.613,995.97,975.62,1241.372,1382.164,1213.696,1032.546,1208.891,1218.764,692.04,822.96,638.449,789.403,949.731,0,,23,37792859.92,331915513.6,269088.687,17.506,57.434,1,1.04
0.5,0,424.461,331.498,585.162,469.78,874.296,701.048,577.562,777.346,858.92,737.505,1006.669,1225.186,1441.406,826.704,1107.911,1315.446,1009.32,1124.852,858.794,919.287,1265.405,886.339,770.832,1011.567,945.847,1033.355,1009.976,1212.865,488.161,491.62,546.457,657.092,1028.306,1103.19,1387.452,1206.503,781.537,830.365,680.597,867.025,1143.889,1057.265,1355.993,1145.429,245.785,589.883,1422.546,1320.041,1049.085,1349.227,1655.05,1175.6,989.677,1040.475,1261.239,1274.949,1267.501,1414.921,1185.32,257.07,535.045,486.166,957.663,938.096,1193.627,1329.004,1167.016,992.833,1162.395,1171.888,665.423,791.307,613.893,759.041,913.202,0,,24,36339288.39,313019083.7,253769.079,17.006,55.793,1,1.04
0.5,0,408.136,318.748,562.655,451.712,840.669,674.084,555.348,747.448,825.885,709.139,967.951,1178.063,1385.967,794.908,1065.299,1264.852,970.5,1081.589,825.763,883.93,1216.736,852.249,741.184,972.66,909.469,993.611,971.131,1166.216,469.385,472.711,525.44,631.819,988.756,1060.76,1334.088,1160.099,751.478,798.428,654.42,833.678,1099.893,1016.601,1303.84,1101.374,236.331,567.195,1367.832,1269.27,1008.735,1297.334,1591.394,1130.384,951.613,1000.457,1212.73,1225.912,1218.751,1360.501,1139.731,247.183,514.467,467.467,920.83,902.016,1147.718,1277.888,1122.13,954.647,1117.688,1126.816,639.83,760.873,590.282,729.847,878.079,0,,25,34941623.45,294849439.5,239038.687,16.506,54.153,1,1.03
0.5,0,396.248,309.464,546.267,438.555,816.184,654.451,539.173,725.677,801.83,688.485,939.758,1143.751,1345.599,771.755,1034.271,1228.011,942.233,1050.086,801.712,858.184,1181.297,827.426,719.596,944.33,882.979,964.671,942.846,1132.249,455.714,458.943,510.135,613.416,959.957,1029.864,1295.231,1126.31,729.59,775.173,635.36,809.396,1067.857,986.991,1265.864,1069.295,229.448,550.675,1327.993,1232.301,979.354,1259.547,1545.043,1097.461,923.896,971.317,1177.408,1190.206,1183.253,1320.875,1106.535,239.983,499.482,453.852,894.01,875.744,1114.289,1240.668,1089.447,926.842,1085.134,1093.996,621.194,738.711,573.089,708.59,852.504,0,,26,33923906.26,277378627.7,224874.848,16.006,52.513,1,1.03
