$ THE DALLES_OUTFLOW.npt based on $//THE DALLES_OUT/FLOW/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
41377,8115.826
41378,6982.877
41379,7365.453
41380,7794.791
41381,8161.055
41382,7225.172
41383,6986.646
41384,5930.556
41385,6729.315
41386,6596.072
41387,7251.44
41388,6260.281
41389,6129.239
41390,6119.509
41391,6037.262
41392,6421.749
41393,6483.567
41394,6333.644
41395,6240.772
41396,6796.842
41397,6437.737
41398,6870.736
41399,6391.146
41400,6238.075
41401,6648.071
41402,6841.622
41403,7665.965
41404,7980.756
41405,9343.899
41406,10358.49
41407,10067.29
41408,9638.759
41409,9587.659
41410,9682.703
41411,9966.449
41412,8696.438
41413,9405.984
41414,9342.761
41415,8805.296
41416,8207.173
41417,8293.513
41418,9207.848
41419,8614.564
41420,8234.315
41421,8374.412
41422,8533.387
41423,8173.536
41424,7723.246
41425,7195.326
41426,7577.698
41427,7274.466
41428,5841.056
41429,7586.67
41430,6904.164
41431,7134.397
41432,7589.631
41433,6559.096
41434,7003.717
41435,6997.713
41436,7434.471
41437,6213.637
41438,7124.196
41439,7196.997
41440,7028.442
41441,6730.677
41442,6093.761
41443,6048.766
41444,6195.492
41445,6376.356
41446,6680.581
41447,6768.534
41448,8483.153
41449,7685.462
41450,7350.726
41451,7459.011
41452,7703.681
41453,7489.873
41454,7500.531
41455,8573.279
41456,7875.125
41457,8350.634
41458,8093.432
41459,7889.219
41460,7969.696
41461,7627.678
41462,8042.678
41463,7348.671
41464,7546.718
41465,6421.61
41466,6204.146
41467,5959.819
41468,5859.271
41469,6074.688
41470,6170.43
41471,6177.296
41472,5845.595
41473,5614.169
41474,5456.458
41475,5564.478
41476,5558.109
41477,5251.467
41478,5929.36
41479,4969.708
41480,4457.316
41481,4848.457
41482,5596.054
41483,4734.394
41484,4398.102
41485,4872.228
41486,5044.525
41487,5448.245
41488,5277.964
41489,4952.627
41490,4995.504
41491,5120.637
41492,4533.813
41493,5005.361
41494,4876.596
41495,4680.479
41496,4727.458
41497,4354.881
41498,3488.596
41499,4386.841
41500,4913.018
41501,5079.176
41502,4233.081
41503,4811.289
41504,4319.13
41505,3961.532
41506,4293.535
41507,4372.857
41508,4213.848
41509,4296.978
41510,3827.335
41511,3639.311
41512,3065.394
41513,3625.831
41514,3296.341
41515,3485.261
41516,3618.976
41517,3757.081
41518,3697.957
41519,2998.54
41520,2671.217
41521,2847.159
41522,2806.66
41523,2505.917
41524,2549.665
41525,2860.021
41526,2445.524
41527,2412.216
41528,3348.797
41529,3997.943
41530,3276.052
41531,3525.574
41532,3097.072
41533,2276.881
41534,2683.754
41535,3644.281
41536,2797.563
41537,3193.956
41538,3178.213
41539,2711.606
41540,2492.133
41541,2915.392
41542,2601.692
41543,2969.396
41544,2880.974
41545,2926.13
41546,2901.797
41547,2918.918
41548,2971.224
41549,3521.982
41550,3994.44
41551,3195.88
41552,3238.934
41553,2408.218
41554,2578.174
41555,2349.12
41556,2961.65
41557,2930.704
41558,2953.713
41559,3476.038
41560,3443.336
41561,3358.577
41562,3359.972
41563,3103.847
41564,3208.721
41565,3727.601
41566,3916.372
41567,3197.483
41568,2839.514
41569,3594.099
41570,3410.446
41571,3714.664
41572,3211.649
41573,3223.892
41574,2858.808
41575,2552.479
41576,3159.721
41577,3009.473
41578,2704.93
41579,3000.776
41580,2877.9
41581,2636.11
41582,2608.055
41583,3677.667
41584,3189.185
41585,3662.052
41586,3118.482
41587,3397.356
41588,3602.314
41589,3599.498
41590,3218.853
41591,3088.201
41592,3113.55
41593,3192.612
41594,3253.873
41595,3091.948
41596,2729.844
41597,3023.405
41598,2834.91
41599,3197.792
41600,3577.508
41601,4103.231
41602,3647.101
41603,3347.004
41604,3827.339
41605,3537.771
41606,3842.596
41607,3559.112
41608,3624.087
41609,3277.414
41610,2962.077
41611,2909.116
41612,4002.466
41613,3871.151
41614,3819.147
41615,4424.196
41616,4265.72
41617,3882.876
41618,4113.006
41619,4120.966
41620,4350.165
41621,3513.968
41622,3635.849
41623,3524.266
41624,3321.138
41625,3372.064
41626,3329.34
41627,3505.804
41628,3345.341
41629,3456.156
41630,3493.172
41631,3175.622
41632,3283.976
41633,3368.33
41634,3075.357
41635,3167.392
41636,2959.295
41637,3423.328
41638,3341.808
41639,3390.813
41640,3546.204
41641,3183.282
41642,2820.475
41643,2334.546
41644,2573.368
41645,3322.588
41646,4255.766
41647,4561.535
41648,4405.834
41649,4307.829
41650,4490.239
41651,3092.828
41652,4057.205
41653,3081.791
41654,3277.198
41655,3435.561
41656,3636.537
41657,3415.802
41658,3134.86
41659,3180.349
41660,4046.772
41661,4211.801
41662,4140.425
41663,3725.159
41664,4065.787
41665,3842.107
41666,4266.105
41667,3603.03
41668,3886.554
41669,3187.551
41670,3339.506
41671,3482.241
41672,3443.928
41673,3179.63
41674,3294.299
41675,3314.316
41676,3351.742
41677,3806.873
41678,3915.265
41679,3742.734
41680,3679.479
41681,3722.03
41682,3309.717
41683,2877.036
41684,2385.228
41685,3178.343
41686,4095.976
41687,3355.601
41688,3629.077
41689,4147.906
41690,3561.812
41691,3450.766
41692,3309.095
41693,3893.77
41694,3839.215
41695,3741.554
41696,3777.692
41697,3441.793
41698,3579.794
41699,3374.095
41700,3948.395
41701,4146.657
41702,4723.708
41703,4904.234
41704,4984.951
41705,5554.629
41706,6048.961
41707,6857.333
41708,6822.551
41709,7306.254
41710,7710.036
41711,7993.063
41712,7755.807
41713,6799.826
41714,6846.664
41715,6650.271
41716,6727.095
41717,6779.625
41718,6889.473
41719,7451.355
41720,6992.299
41721,7130.41
41722,6732.134
41723,6287.727
41724,5792.731
41725,6568.869
41726,5916.245
41727,5811.355
41728,6499.794
41729,6637.863
41730,7338.541
41731,6710.84
41732,6302.687
41733,6488.023
41734,6369.362
41735,7044.689
41736,6370.664
41737,6459.802
41738,6242.451
41739,6476.813
41740,7223.766
41741,6858.734
41742,6683.276
41743,6750.844
41744,6533.443
41745,6263.923
41746,7251.475
41747,7026.698
41748,6673.625
41749,7485.547
41750,7720.944
41751,7420.579
41752,7075.363
41753,7908.265
41754,7059.925
41755,7519.913
41756,7447.845
41757,7822.532
41758,7574.863
41759,8036.317
41760,7329.651
41761,7795.885
41762,7418.269
41763,7663.277
41764,8300.695
41765,8536.368
41766,9331.236
41767,8677.553
41768,8600.938
41769,8091.36
41770,7034.024
41771,8130.469
41772,8264.401
41773,8234.881
41774,7340.719
41775,7435.68
41776,7791.541
41777,8957.294
41778,9529.727
41779,9722.197
41780,10322.95
41781,9740.685
41782,9287.42
41783,9714.653
41784,10440.96
41785,10381.38
41786,10353.25
41787,10763.88
41788,10760.88
41789,10440.39
41790,10275.31
41791,9424.11
41792,9357.694
41793,10190.97
41794,9841.542
41795,9989.682
41796,9997.165
41797,10163.74
41798,9015.269
41799,8436.97
41800,8373.975
41801,8674.087
41802,7988.504
41803,7236.173
41804,6647.929
41805,7227.848
41806,6284.249
41807,6128.211
41808,6213.562
41809,7559.869
41810,7372.422
41811,7006.104
41812,7396.264
41813,8408.192
41814,7918.82
41815,7879.748
41816,7952.388
41817,7499.764
41818,7535.424
41819,7402.846
41820,7922.51
41821,9201.118
41822,8555.213
41823,8186.05
41824,7610.696
41825,7609.114
41826,7661.688
41827,6448.651
41828,7338.396
