$ THE DALLES_OUTFLOW.csv based on THE DALLES-POOL/FLOW-OUT from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  cms ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","THE.DALLES_OUTFLOW"
41188,2409.33
41189,2349.21
41190,2743.35
41191,3316.16
41192,2908.12
41193,2686.04
41194,2200.96
41195,2393.7
41196,2482.09
41197,3006.39
41198,2602.99
41199,2765.62
41200,3387.44
41201,2999.37
41202,2905.5
41203,3274.29
41204,4110.87
41205,3452.45
41206,2829.8
41207,3131.94
41208,3411.37
41209,2521.34
41210,2218.12
41211,3130.27
41212,3322.85
41213,3428.53
41214,3673.53
41215,3910.29
41216,4206.21
41217,4541.29
41218,5014.28
41219,5270.39
41220,4523.91
41221,4988.62
41222,5250.74
41223,5148.92
41224,5022.13
41225,4800.5
41226,4173.07
41227,4201.19
41228,4646.84
41229,4624.86
41230,4145.69
41231,4545.15
41232,3800.78
41233,2397.5
41234,4700.51
41235,5308.22
41236,5306.89
41237,4734.63
41238,4761.76
41239,5052.59
41240,5396.01
41241,4574.98
41242,4528.45
41243,4552.38
41244,4644.3
41245,4729.75
41246,4432.92
41247,5765.03
41248,5730.34
41249,6044.18
41250,5882.28
41251,5966.77
41252,5718.53
41253,5169.23
41254,5328.65
41255,5593.17
41256,5520.54
41257,4985.4
41258,4939.84
41259,4156.3
41260,4639.26
41261,5793.73
41262,4842.01
41263,3985.29
41264,4510.83
41265,5049.94
41266,4538.78
41267,4095.74
41268,3986.25
41269,5065.12
41270,4662.46
41271,4805.27
41272,5052.71
41273,4908.28
41274,4750.55
41275,4743.22
41276,5121.8
41277,4917.04
41278,4494.91
41279,4846.28
41280,4493.98
41281,4103.84
41282,4998.93
41283,6464.57
41284,5382.41
41285,4983.07
41286,5181.32
41287,5468.11
41288,5169.3
41289,5305.65
41290,5673.25
41291,4966.89
41292,4088.16
41293,5050.16
41294,4836.02
41295,5135.97
41296,5643.1
41297,4919.35
41298,4374.74
41299,5307.36
41300,4274.17
41301,4498.2
41302,5168.61
41303,5088.69
41304,4922.41
41305,5980.81
41306,5287.7
41307,4913.96
41308,5245.84
41309,5522.4
41310,5024.88
41311,5164.63
41312,4993.36
41313,4656.73
41314,4849.01
41315,4518.08
41316,5173.96
41317,5390.61
41318,4492.17
41319,4552.11
41320,4987.77
41321,4328.55
41322,4815.35
