$ THE DALLES_OUTFLOW.csv based on THE DALLES-POOL/FLOW-OUT from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  cms ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","THE.DALLES_OUTFLOW"
42241,3275.03
42242,2957.22
42243,2790.41
42244,2661.71
42245,2051.95
42246,2461.79
42247,3351.28
42248,2240.07
42249,2205.85
42250,2769.51
42251,2893.46
42252,2216.24
42253,2243.83
42254,2702.7
42255,2977.7
42256,2922.82
42257,3126.16
42258,2940.89
42259,2567.76
42260,2016.18
42261,2376.98
42262,3003.27
42263,2876.42
42264,2354.73
42265,2814.53
42266,2700.92
42267,2618.95
42268,2753.57
42269,3117.38
42270,3204.93
42271,3418.63
42272,2596.41
42273,2358.76
42274,2437.35
42275,3007.31
42276,3496.39
42277,2789.73
42278,2325.42
42279,1987.79
42280,2561.17
42281,2919.77
42282,3224.07
42283,3318.91
42284,3045.88
42285,2574.2
42286,2423.33
42287,2740.02
42288,2827.28
42289,2601.37
42290,2887.87
42291,3213.88
42292,3205.23
42293,3261.32
42294,2558.99
42295,2192.34
42296,2837.83
42297,2775
42298,3135.67
42299,3124.84
42300,3084.27
42301,2899.06
42302,2520.46
42303,2652.75
42304,3042.48
42305,3040.88
42306,1784.34
42307,1994.76
42308,2836.24
42309,2941.65
42310,3315.46
42311,3711.45
42312,3555.57
42313,3268.34
42314,3637.53
42315,4053.92
42316,3508.62
42317,3707.16
42318,3583.13
42319,3261.63
42320,3604.89
42321,3276.14
42322,3379.66
42323,3308.35
42324,4362.4
42325,4264.08
42326,3863.49
42327,4418.56
42328,4042.67
42329,4440.34
42330,3842.93
42331,3716.07
42332,3589.98
42333,3516.55
42334,2931.89
42335,3475.73
42336,4053.1
42337,3620.5
42338,3870.55
42339,2956.01
42340,3670.01
42341,3393.41
42342,2832.12
42343,3251.93
42344,2882.77
42345,3224.27
42346,3070.47
42347,2362.48
42348,4176.67
42349,5446.41
42350,5256.42
42351,3730.73
42352,4525.01
42353,4739.01
42354,4794.59
42355,4127.04
42356,4111.16
42357,3695.07
42358,3262.36
42359,4225.06
42360,3556.99
42361,3678.25
42362,2955.3
42363,3320.97
42364,4167.83
42365,4203.01
42366,3583.98
42367,3733.6
42368,3660.92
42369,3748.08
