$ 2008-2017_NAVD88/QGT_BON_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  ../SpillEdits_NB/QGT_BON_2011_2015_daily_ave.csv ; all outlets scaled to total flow from BONNEVILLE-LEAKAGE_QTOTMISC.csv, BONNEVILLE-POOLELEV.csv, BONNEVILLE-POWER PLANT_FLOW-TURBINE.csv, BONNEVILLE-SPILLWAY_QTOTSPILL.csv, BONNEVILLE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; spillbay flow from published spill pattern
"JDAY","POWR1","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","MISC"
40640,5289.64,215.082,222.461,215.082,215.082,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.082,243.383,243.383,243.383,325.64
40641,5289.64,186.783,215.084,215.084,186.783,186.783,186.783,186.783,155.653,155.653,155.653,155.653,155.653,155.653,155.653,186.783,215.084,215.084,199.643,325.64
40642,5289.64,127.352,155.653,127.352,127.352,127.352,127.352,127.352,127.352,0,127.352,127.352,0,127.352,127.352,127.352,130.287,155.653,127.352,325.64
40643,4050.76,243.383,243.383,243.383,243.383,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,235.44,243.383,243.383,243.383,325.64
40644,3692.12,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40645,3535.92,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40646,3788.81,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40647,3360.01,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40648,3594.12,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40649,3673.71,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40650,2066.3,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40651,3493.29,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40652,3694.33,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40653,3322.16,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40654,3469.5,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40655,2633.29,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40656,3429,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40657,2848.43,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40658,2783.64,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40659,2936.21,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40660,2347.03,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40661,3064.03,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40662,2544.41,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40663,2320.08,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40664,2672.71,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40665,2795.33,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40666,1818.69,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40667,1721.03,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40668,1489.76,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40669,1627.78,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40670,2024.5,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40671,1695.03,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40672,1468.76,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40673,3248.96,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40674,3363.78,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40675,2589.25,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40676,3327.91,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40677,4394.44,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40678,4395.75,243.383,243.383,243.383,232.363,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,186.782,215.083,243.383,243.383,243.383,325.64
40679,5447.54,243.382,243.382,243.382,243.382,215.082,215.082,186.782,186.782,186.782,186.782,186.782,186.782,215.082,207.683,243.382,243.382,243.382,243.382,325.64
40680,5447.54,243.381,322.622,313.644,297.152,297.152,297.152,297.152,297.152,297.152,297.152,297.152,297.152,297.152,297.152,297.152,322.622,322.622,243.381,325.64
40681,5447.54,297.151,401.861,424.501,424.501,431.014,424.501,424.501,424.501,424.501,424.501,424.501,424.501,424.501,424.501,424.501,424.501,401.861,297.151,325.64
40682,5447.54,297.151,401.861,396.295,376.391,401.861,401.861,376.391,401.861,376.391,376.391,376.391,401.861,401.861,376.391,376.391,401.861,401.861,297.151,325.64
40683,5447.54,268.851,376.391,350.921,350.921,376.391,376.391,350.921,376.391,350.921,350.921,350.921,376.391,376.391,350.921,350.921,369.431,376.391,268.851,325.64
40684,5447.54,243.381,322.621,322.621,322.621,322.621,297.151,297.151,322.621,316.029,322.621,297.151,297.151,322.621,297.151,322.621,322.621,322.621,243.381,325.64
40685,5447.54,243.38,322.62,322.62,322.62,322.62,322.62,322.62,322.62,322.62,322.62,299.242,322.62,322.62,322.62,322.62,322.62,322.62,243.38,325.64
40686,5447.54,243.381,322.622,322.622,322.622,350.922,350.922,322.622,335.518,322.622,322.622,322.622,350.922,350.922,322.622,322.622,322.622,322.622,243.381,325.64
40687,5447.54,297.151,376.391,376.391,376.391,381.655,376.391,376.391,376.391,376.391,376.391,376.391,376.391,376.391,376.391,376.391,376.391,376.391,297.151,325.64
40688,5447.54,243.381,350.921,350.921,322.621,350.921,350.921,322.621,350.921,322.621,350.921,322.621,350.921,350.921,350.921,322.621,350.921,350.921,250.779,325.64
40689,5447.54,268.851,350.921,350.921,350.921,376.391,350.921,350.921,350.921,350.921,350.921,350.921,368.008,376.391,350.921,350.921,350.921,350.921,268.851,325.64
40690,5447.54,243.38,322.62,322.62,322.62,322.62,322.62,322.62,322.62,322.62,322.62,298.973,322.62,322.62,322.62,322.62,322.62,322.62,243.38,325.64
40691,5447.54,268.851,376.391,350.921,350.921,376.391,376.391,350.921,376.391,350.921,350.921,350.921,376.391,376.391,350.921,350.921,372.929,376.391,268.851,325.64
40692,5447.54,297.151,401.861,394.061,376.391,401.861,401.861,376.391,401.861,376.391,376.391,376.391,401.861,401.861,376.391,376.391,401.861,401.861,297.151,325.64
40693,5447.54,268.851,350.921,350.921,350.921,376.391,350.921,350.921,350.921,350.921,350.921,350.921,350.921,357.281,350.921,350.921,350.921,350.921,268.851,325.64
40694,5447.54,243.38,322.62,322.62,322.62,350.92,350.92,322.62,350.92,322.62,323.665,322.62,350.92,350.92,322.62,322.62,322.62,322.62,243.38,325.64
40695,5210.69,268.851,350.921,350.921,347.025,350.921,350.921,322.621,350.921,322.621,350.921,322.621,350.921,350.921,350.921,322.621,350.921,350.921,268.851,325.64
40696,5210.69,243.381,322.622,322.622,322.622,350.922,350.922,322.622,333.499,322.622,322.622,322.622,350.922,350.922,322.622,322.622,322.622,322.622,243.381,325.64
40697,5210.69,243.38,325.11,322.621,322.621,350.921,350.921,322.621,350.921,322.621,350.921,322.621,350.921,350.921,322.621,322.621,322.621,322.621,243.38,325.64
40698,5210.69,268.85,374.624,350.92,350.92,376.39,376.39,350.92,376.39,350.92,350.92,350.92,376.39,376.39,350.92,350.92,350.92,376.39,268.85,325.64
40699,5210.69,297.151,401.861,424.501,424.501,424.501,424.501,424.501,424.501,401.861,424.501,410.814,424.501,424.501,424.501,424.501,424.501,401.861,297.151,325.64
40700,5210.69,268.851,376.391,376.391,376.391,376.391,376.391,376.391,376.391,350.921,376.391,367.058,376.391,376.391,376.391,376.391,376.391,376.391,268.851,325.64
40701,5210.69,297.15,401.861,401.861,398.881,401.861,401.861,376.391,401.861,376.391,401.861,376.391,401.861,401.861,376.391,401.861,401.861,401.861,297.15,325.64
40702,5210.69,297.151,376.391,376.391,376.391,401.861,376.391,376.391,376.391,376.391,376.391,376.391,380.358,401.861,376.391,376.391,376.391,376.391,297.151,325.64
40703,5210.69,297.15,424.5,449.97,449.97,449.97,449.97,449.97,449.97,424.5,449.97,427.053,449.97,449.97,449.97,449.97,449.97,424.5,297.15,325.64
40704,5210.69,309.491,468.657,515.818,492.237,515.818,515.818,492.237,515.818,492.237,515.818,492.237,515.818,515.818,492.237,515.818,515.818,492.237,309.491,325.64
40705,5210.69,308.273,466.814,513.789,490.301,513.789,513.789,490.301,513.789,490.301,513.789,490.301,513.789,513.789,490.301,513.789,513.789,490.301,308.273,325.64
40706,5210.69,297.151,449.971,472.611,472.611,495.251,495.251,472.611,495.251,472.611,472.611,472.611,495.251,495.251,472.611,472.611,482.326,472.611,297.151,325.64
40707,5210.69,312.1,472.608,520.166,496.387,520.166,520.166,496.387,520.166,496.387,520.166,496.387,520.166,520.166,496.387,520.166,520.166,496.387,312.1,325.64
40708,5210.69,319.996,484.565,533.326,508.945,533.326,533.326,508.945,533.326,508.945,533.326,508.945,533.326,533.326,508.945,533.326,533.326,508.945,319.996,325.64
40709,5210.69,306.85,464.658,511.416,488.037,511.416,511.416,488.037,511.416,488.037,511.416,488.037,511.416,511.416,488.037,511.416,511.416,488.037,306.85,325.64
40710,5210.69,314.416,476.115,524.026,500.071,524.026,524.026,500.071,524.026,500.071,524.026,500.071,524.026,524.026,500.071,524.026,524.026,500.071,314.416,325.64
40711,5210.69,323.908,490.489,539.846,515.168,539.846,539.846,515.168,539.846,515.168,539.846,515.168,539.846,539.846,515.168,539.846,539.846,515.168,323.908,325.64
40712,5210.69,310.841,470.703,518.069,494.386,518.069,518.069,494.386,518.069,494.386,518.069,494.386,518.069,518.069,494.386,518.069,518.069,494.386,310.841,325.64
40713,5210.69,297.15,449.97,449.97,449.97,472.61,472.61,449.97,472.61,449.97,449.97,449.97,472.61,472.61,449.97,449.97,451.466,449.97,297.15,325.64
40714,5210.69,297.151,424.501,449.971,449.971,449.971,449.971,439.421,449.971,424.501,449.971,424.501,449.971,449.971,449.971,449.971,449.971,424.501,297.151,325.64
40715,5210.69,297.15,449.971,449.971,449.971,472.611,472.611,449.971,472.611,449.971,449.971,449.971,472.611,472.611,449.971,449.971,456.128,449.971,297.15,325.64
40716,5210.69,297.15,424.501,449.971,424.501,449.971,449.971,424.501,449.971,424.501,427.721,424.501,449.971,449.971,424.501,424.501,449.971,424.501,297.15,325.64
40717,5210.69,297.151,424.501,449.971,449.971,472.611,459.125,449.971,449.971,449.971,449.971,449.971,472.611,472.611,449.971,449.971,449.971,424.501,297.151,325.64
