$ BONNEVILLE-POOLELEV.csv based on BONNEVILLE-POOL/ELEV-NAVD88 from PA_EXT_smoothed_fb 2020-01-03 1542_NAVD88.dss
Units in  meters ;Based on Excel conventions, JDAY 1 is 1899-12-31; JDAY 40544 is 2011-01-01
"JDAY","BONNEVILLE.POOLELEV"
40990,24.17
40991,24.17
40992,24.17
40993,24.17
40994,24.17
40995,24.17
40996,24.17
40997,24.17
40998,24.17
40999,24.17
41000,24.17
41001,24.17
41002,24.17
41003,24.17
41004,24.17
41005,24.17
41006,24.17
41007,24.17
41008,24.17
41009,24.17
41010,24.17
41011,24.17
41012,24.17
41013,24.17
41014,24.17
41015,24.17
41016,24.17
41017,24.17
41018,24.17
41019,24.17
41020,24.17
41021,24.17
41022,24.17
41023,24.17
41024,24.17
41025,24.17
41026,24.17
41027,24.17
41028,24.17
41029,24.17
41030,24.17
41031,24.17
41032,24.17
41033,24.17
41034,24.17
41035,24.17
41036,24.17
41037,24.17
41038,24.17
41039,24.17
41040,24.17
41041,24.17
41042,24.17
41043,24.17
41044,24.17
41045,24.17
41046,24.17
41047,24.17
41048,24.17
41049,24.17
41050,24.17
41051,24.17
41052,24.17
41053,24.17
41054,24.17
41055,24.17
41056,24.17
41057,24.17
41058,24.17
41059,24.17
41060,24.17
41061,24.17
41062,24.17
41063,24.17
41064,24.17
41065,24.17
41066,24.17
41067,24.17
41068,24.17
41069,24.17
41070,24.17
41071,24.17
41072,24.17
41073,24.17
41074,24.17
41075,24.17
41076,24.17
41077,24.17
41078,24.17
41079,24.17
41080,24.17
41081,24.17
41082,24.17
41083,24.17
41084,24.17
41085,24.17
41086,24.17
41087,24.17
41088,24.17
41089,24.17
41090,24.17
41091,24.17
41092,24.17
41093,24.17
41094,24.17
41095,24.17
41096,24.17
41097,24.17
41098,24.17
41099,24.17
41100,24.17
41101,24.17
41102,24.17
41103,24.17
41104,24.17
41105,24.17
41106,24.17
41107,24.17
41108,24.17
41109,24.17
41110,24.17
41111,24.17
41112,24.17
41113,24.17
41114,24.17
41115,24.17
41116,24.17
41117,24.17
41118,24.17
41119,24.17
41120,24.17
41121,24.17
41122,24.17
41123,24.17
41124,24.17
41125,24.17
41126,24.17
41127,24.17
41128,24.17
41129,24.17
41130,24.17
41131,24.17
41132,24.17
41133,24.17
41134,24.17
41135,24.17
41136,24.17
41137,24.17
41138,24.17
41139,24.17
41140,24.17
41141,24.17
41142,24.17
41143,24.17
41144,24.17
41145,24.17
41146,24.17
41147,24.17
41148,24.17
41149,24.17
41150,24.17
