$Spokane,International,Airport,met,data,,1/1/2001,to,
Solar,is,from,Odessa,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,Solar,
9.164,-0.6,-1.1,2.06,2.44,10,0,
9.206,0,-0.6,2.06,2.44,10,0,
9.247,0,0,2.06,1.92,10,0,
9.289,-0.6,-0.6,2.06,1.22,10,0,
9.331,-1.1,-1.1,1.54,0.87,10,0,
9.372,-0.6,-0.6,1.54,0.7,10,33.57,
9.414,0,-0.6,2.57,0.87,10,85.15,
9.456,0,0,3.6,1.05,10,136.84,
9.497,0,0,4.12,0.87,10,167.74,
9.539,0.6,0.6,4.12,0.87,10,320.02,
9.581,1.7,1.1,4.12,0.7,4.4,294.23,
9.622,2.2,0.6,4.12,0.7,1.9,149.73,
9.664,1.1,0,3.6,0.35,4.4,59.36,
9.706,0.6,-0.6,3.6,0.87,4.4,5.23,
9.747,0,-0.6,3.09,0.87,4.4,0,
9.789,-0.6,-1.1,4.12,0.87,4.4,0,
9.831,-0.6,-1.1,4.12,0.87,4.4,0,
9.872,-1.7,-2.2,2.06,0.52,4.4,0,
9.914,-3.3,-3.9,0,0,7.5,0,
9.956,-5,-5.6,2.06,1.92,7.5,0,
9.997,-2.2,-2.8,2.06,2.09,7.5,0,
10.039,-3.3,-4.4,2.57,2.44,7.5,0,
10.081,-1.7,-2.2,4.63,2.62,10,0,
10.122,-1.7,-1.7,4.12,2.62,10,0,
10.164,-1.1,-1.1,2.06,2.97,10,0,
10.206,-0.6,-1.1,0,0,10,0,
10.247,-0.6,-0.6,2.06,3.14,10,0,
10.289,0,-0.6,2.06,3.32,10,0,
10.331,0,-0.6,2.06,2.97,10,0,
10.372,0.6,-0.6,1.54,4.01,10,20.68,
10.414,0.6,-0.6,2.06,3.49,10,64.47,
10.456,0.6,-0.6,3.09,3.84,10,98.16,
10.497,1.1,-0.6,1.54,3.14,10,121.27,
10.539,1.1,0,2.06,1.75,10,136.84,
10.581,1.1,-1.1,1.54,2.27,10,121.27,
10.622,1.1,-0.6,3.09,0.87,10,95.48,
10.664,0.6,0,2.06,0.35,7.5,33.57,
10.706,-0.6,-1.1,3.6,0.52,4.4,2.56,
10.747,-1.7,-1.7,3.6,0.7,4.4,0,
10.789,-1.1,-1.1,3.6,0.87,4.4,0,
10.831,-0.6,-0.6,4.63,0.87,7.5,0,
10.872,-0.6,-0.6,6.17,1.05,10,0,
10.914,-0.6,-0.6,3.6,0.87,10,0,
10.956,-0.6,-0.6,4.12,1.05,10,0,
10.997,-0.6,-0.6,3.6,0.7,10,0,
11.039,-1.1,-1.1,3.09,0.7,10,0,
11.081,-1.7,-2.2,3.6,0.7,7.5,0,
11.122,-2.2,-2.8,3.6,0.52,10,0,
11.164,-2.8,-3.3,2.06,0.35,10,0,
11.206,-1.7,-2.8,4.63,0.7,10,0,
11.247,-1.7,-3.3,4.12,0.52,10,0,
11.289,-1.7,-3.3,3.6,0.87,7.5,0,
11.331,-2.8,-4.4,4.12,0.87,7.5,0,
11.372,-2.2,-3.9,4.63,0.7,7.5,46.46,
11.414,-1.7,-3.9,3.09,0.35,10,92.93,
11.456,-0.6,-2.8,2.06,0.17,7.5,154.84,
11.497,1.1,-2.8,3.09,1.05,7.5,172.96,
11.539,1.1,-2.8,3.6,0.87,10,172.96,
11.581,1.7,-2.2,4.12,0.7,10,126.5,
11.622,1.7,-2.2,3.09,0.87,10,74.81,
11.664,1.7,-2.2,0,0,10,25.9,
11.706,1.7,-2.2,3.09,1.05,10,0,
11.747,0,-1.7,2.06,0.17,7.5,0,
11.789,0,-2.2,0,0,10,0,
11.831,-1.1,-2.2,1.54,4.36,10,0,
11.872,-1.1,-2.8,2.06,4.71,10,0,
11.914,-1.1,-2.8,2.06,4.89,10,0,
11.956,-1.1,-2.8,2.06,4.54,10,0,
11.997,-0.6,-2.8,1.54,4.01,10,0,
12.039,-1.1,-2.2,2.57,4.01,10,0,
12.081,-0.6,-2.2,3.09,4.01,10,0,
12.122,-1.1,-1.7,2.06,3.67,10,0,
12.164,-1.1,-2.2,1.54,3.32,10,0,
12.206,-1.1,-2.2,2.06,3.84,10,0,
12.247,-1.1,-2.2,3.09,3.67,10,0,
12.289,-1.1,-2.2,3.6,3.84,10,0,
12.331,-1.7,-2.2,4.12,4.19,10,0,
12.372,-1.1,-1.1,3.09,4.36,10,28.34,
12.414,-1.1,-1.1,3.09,4.36,10,118.72,
12.456,-1.1,-1.1,0,0,10,185.86,
12.497,0,-1.1,0,0,7.5,206.53,
12.539,0.6,-1.1,2.06,2.44,7.5,247.77,
12.581,0,-0.6,3.6,4.01,10,253,
12.622,0,-1.1,2.06,3.67,10,170.29,
12.664,0,-1.1,2.57,3.67,10,41.35,
12.706,-0.6,-1.1,3.09,3.49,10,2.56,
12.747,-0.6,-1.1,2.06,4.01,10,0,
12.789,-0.6,-1.1,0,0,10,0,
12.831,-0.6,-1.1,0,0,10,0,
12.872,-0.6,-1.1,0,0,10,0,
12.914,-0.6,-1.1,0,0,10,0,
12.956,-0.6,-1.1,0,0,10,0,
12.997,-1.1,-1.1,0,0,10,0,
13.039,-1.1,-1.1,0,0,10,0,
13.081,-1.1,-1.1,0,0,10,0,
13.122,-1.1,-1.1,0,0,10,0,
13.164,-1.1,-1.1,1.54,0.87,10,0,
13.206,-1.1,-1.1,0,0,10,0,
13.247,-1.1,-1.1,0,0,10,0,
13.289,-1.1,-1.1,2.06,0.87,10,0,
13.331,-1.1,-1.1,2.06,1.05,10,0,
13.372,-1.1,-1.1,1.54,1.05,10,25.79,
13.414,-1.1,-1.1,0,0,10,38.68,
13.456,-0.6,-0.6,0,0,10,69.7,
13.497,0,-0.6,0,0,10,196.19,
13.539,0,-0.6,0,0,10,170.41,
13.581,0,-0.6,1.54,1.4,10,118.72,
13.622,0,0,2.06,1.22,10,67.14,
13.664,0.6,0,1.54,2.09,10,43.79,
13.706,0,-0.6,1.54,2.62,10,0,
13.747,0,0,2.06,2.62,10,0,
13.789,0,0,1.54,2.27,10,0,
13.831,0,0,1.54,2.62,10,0,
13.872,0,-0.6,1.54,2.62,10,0,
13.914,-0.6,-0.6,0,0,10,0,
13.956,-0.6,-1.1,0,0,10,0,
13.997,-0.6,-0.6,0,0,10,0,
14.039,-1.1,-1.1,0,0,10,0,
14.081,-1.1,-1.1,1.54,5.93,10,0,
14.122,-1.1,-1.1,1.54,5.59,10,0,
14.164,-1.1,-1.1,2.06,5.59,10,0,
14.206,-0.6,-1.1,1.54,5.59,10,0,
14.247,-4.4,-5,1.54,4.71,10,0,
