$Chehalis WWTP WQ file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chehalis WWTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS   ,Gen1(tracer),Gen2(Age),Gen3(FC),ISS,PO4   ,NH4   ,NO3   ,LDOM  ,RDOM  ,LPOM  ,RPOM  ,BOD1,BOD2,BOD3,BOD4,BOD5,BOD6,BOD7,BOD8,BOD9,BOD10,BODP1,BODP2,BODP3,BODP4,BODP5,BODP6,BODP7,BODP8,BODP9,BODP10,BODN1,BODN2,BODN3,BODN4,BODN5,BODN6,BODN7,BODN8,BODN9,BODN10,ALG1  ,DO    ,TIC   ,ALK   ,ZOO1  ,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
36,0,0,0,3.0,4.068571429,1.6,0.34,1.7,0,0,0,0,0,0,0,0,2.286,9.144,0,0,0,0,0,0,0,0,0.02286,0.09144,0,0,0,0,0,0,0,0,0.18288,0.73152,0,0,0,0,0,1.36,45.4391,56.1,0,0,0,0,0,0,0,0,0
37,0,0,0,2.0,2.52,1.6,0.49,1.7,0,0,0,0,0,0,0,0,1.778,7.112,0,0,0,0,0,0,0,0,0.01778,0.07112,0,0,0,0,0,0,0,0,0.14224,0.56896,0,0,0,0,0,2.25,45.4391,55,0,0,0,0,0,0,0,0,0
38,0,0,0,3.0,2.155428571,1.6,0.4,1.7,0,0,0,0,0,0,0,0,1.6256,6.5024,0,0,0,0,0,0,0,0,0.016256,0.065024,0,0,0,0,0,0,0,0,0.130048,0.520192,0,0,0,0,0,1.54,58.1329,51.1,0,0,0,0,0,0,0,0,0
39,0,0,0,4.0,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,1.93,41.1368,54.8,0,0,0,0,0,0,0,0,0
40,0,0,0,3.3,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,2.03,37.4932,76.4,0,0,0,0,0,0,0,0,0
41,0,0,0,3.3,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,2.36,37.522,76.4,0,0,0,0,0,0,0,0,0
42,0,0,0,2,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,2.2,34.7149,54.7,0,0,0,0,0,0,0,0,0
43,0,0,0,8.0,2.504,1.6,0.24,1.7,0,0,0,0,0,0,0,0,2.1336,8.5344,0,0,0,0,0,0,0,0,0.021336,0.085344,0,0,0,0,0,0,0,0,0.170688,0.682752,0,0,0,0,0,1.41,40.9546,59.7,0,0,0,0,0,0,0,0,0
44,0,0,0,2,4.985142857,1.6,0.22,1.7,0,0,0,0,0,0,0,0,3.5052,14.0208,0,0,0,0,0,0,0,0,0.035052,0.140208,0,0,0,0,0,0,0,0,0.280416,1.121664,0,0,0,0,0,1.2,27.3408,61.1,0,0,0,0,0,0,0,0,0
45,0,0,0,2,2.574857143,1.6,0.22,1.7,0,0,0,0,0,0,0,0,1.8288,7.3152,0,0,0,0,0,0,0,0,0.018288,0.073152,0,0,0,0,0,0,0,0,0.146304,0.585216,0,0,0,0,0,2.32,32.4004,55.8,0,0,0,0,0,0,0,0,0
46,0,0,0,2,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,3.4,32.4004,54.2,0,0,0,0,0,0,0,0,0
47,0,0,0,3.3,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,3.04,40.7423,76.4,0,0,0,0,0,0,0,0,0
48,0,0,0,3.3,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,4.17,40.8123,76.4,0,0,0,0,0,0,0,0,0
49,0,0,0,2.0,5.181714286,1.6,0.44,1.7,0,0,0,0,0,0,0,0,2.9464,11.7856,0,0,0,0,0,0,0,0,0.029464,0.117856,0,0,0,0,0,0,0,0,0.235712,0.942848,0,0,0,0,0,3.55,40.6044,76.4,0,0,0,0,0,0,0,0,0
