$Main outflows,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,
JDAY,QWD1,QWD2,QWD3,QWD4,QWD5
197,16.11,16.11,16.11,16.11,16.11
198,14.71,14.71,14.71,14.71,14.71
199,18.11,18.11,18.11,18.11,18.11
200,23.9,23.9,23.9,23.9,23.9
201,24.7,24.7,24.7,24.7,24.7
202,10.84,10.84,10.84,10.84,10.84
203,12.44,12.44,12.44,12.44,12.44
204,18.5,18.5,18.5,18.5,18.5
205,15.1,15.1,15.1,15.1,15.1
206,11.54,11.54,11.54,11.54,11.54
207,11.11,11.11,11.11,11.11,11.11
208,17.09,17.09,17.09,17.09,17.09
209,19.09,19.09,19.09,19.09,19.09
210,33.69,33.69,33.69,33.69,33.69
211,50.09,50.09,50.09,50.09,50.09
212,35.69,35.69,35.69,35.69,35.69
213,27.49,27.49,27.49,27.49,27.49
214,31.88,31.88,31.88,31.88,31.88
215,30.08,30.08,30.08,30.08,30.08
216,52,52,52,52,52
217,52,52,52,52,52
218,37.88,37.88,37.88,37.88,37.88
219,34.88,34.88,34.88,34.88,34.88
220,40.08,40.08,40.08,40.08,40.08
221,52,52,52,52,52
222,40.67,40.67,40.67,40.67,40.67
223,32.87,32.87,32.87,32.87,32.87
224,28.67,28.67,28.67,28.67,28.67
225,25.67,25.67,25.67,25.67,25.67
226,35.27,35.27,35.27,35.27,35.27
227,26.67,26.67,26.67,26.67,26.67
228,23.86,23.86,23.86,23.86,23.86
229,21.8,21.8,21.8,21.8,21.8
230,20.73,20.73,20.73,20.73,20.73
231,20.07,20.07,20.07,20.07,20.07
232,18,18,18,18,18
233,16.73,16.73,16.73,16.73,16.73
234,15.67,15.67,15.67,15.67,15.67
235,14.8,14.8,14.8,14.8,14.8
236,13.78,13.78,13.78,13.78,13.78
237,18.27,18.27,18.27,18.27,18.27
238,18.4,18.4,18.4,18.4,18.4
239,15.14,15.14,15.14,15.14,15.14
240,22.67,22.67,22.67,22.67,22.67
241,31.01,31.01,31.01,31.01,31.01
242,26.34,26.34,26.34,26.34,26.34
243,21.07,21.07,21.07,21.07,21.07
244,25.81,25.81,25.81,25.81,25.81
245,19.34,19.34,19.34,19.34,19.34
246,31.47,31.47,31.47,31.47,31.47
247,43.21,43.21,43.21,43.21,43.21
248,52,52,52,52,52
249,48.28,48.28,48.28,48.28,48.28
250,36.61,36.61,36.61,36.61,36.61
251,49.94,49.94,49.94,49.94,49.94
252,52,52,52,52,52
253,52,52,52,52,52
254,52,52,52,52,52
255,52,52,52,52,52
256,52,52,52,52,52
257,52,52,52,52,52
258,52,52,52,52,52
259,52,52,52,52,52
260,52,52,52,52,52
261,52,52,52,52,52
262,52,52,52,52,52
263,52,52,52,52,52
264,52,52,52,52,52
265,52,52,52,52,52
266,52,52,52,52,52
267,52,52,52,52,52
268,52,52,52,52,52
269,52,52,52,52,52
270,52,52,52,52,52
271,52,52,52,52,52
272,52,52,52,52,52
273,52,52,52,52,52
274,52,52,52,52,52
275,52,52,52,52,52
276,52,52,52,52,52
277,52,52,52,52,52
278,52,52,52,52,52
279,52,52,52,52,52
280,52,52,52,52,52
281,52,52,52,52,52
282,49.96,49.96,49.96,49.96,49.96
283,47.59,47.59,47.59,47.59,47.59
284,43.61,43.61,43.61,43.61,43.61
285,41.83,41.83,41.83,41.83,41.83
286,51.66,51.66,51.66,51.66,51.66
287,46.48,46.48,46.48,46.48,46.48
288,50.71,50.71,50.71,50.71,50.71
289,48.93,48.93,48.93,48.93,48.93
290,44.9,44.9,44.9,44.9,44.9
291,38.66,38.66,38.66,38.66,38.66
292,37.03,37.03,37.03,37.03,37.03
293,34.59,34.59,34.59,34.59,34.59
294,36.76,36.76,36.76,36.76,36.76
295,46.73,46.73,46.73,46.73,46.73
296,43.69,43.69,43.69,43.69,43.69
297,50.26,50.26,50.26,50.26,50.26
298,42.63,42.63,42.63,42.63,42.63
299,49.99,49.99,49.99,49.99,49.99
300,52,52,52,52,52
301,49.32,49.32,49.32,49.32,49.32
302,40.29,40.29,40.29,40.29,40.29
303,42.66,42.66,42.66,42.66,42.66
304,52,52,52,52,52
305,52,52,52,52,52
306,52,52,52,52,52
307,52,52,52,52,52
308,52,52,52,52,52
309,52,52,52,52,52
310,52,52,52,52,52
311,52,52,52,52,52
312,52,52,52,52,52
313,52,52,52,52,52
314,52,52,52,52,52
315,52,52,52,52,52
316,52,52,52,52,52
317,52,52,52,52,52
318,52,52,52,52,52
319,52,52,52,52,52
320,44.68,44.68,44.68,44.68,44.68
321,38.96,38.96,38.96,38.96,38.96
322,35.63,35.63,35.63,35.63,35.63
323,36.71,36.71,36.71,36.71,36.71
324,52,52,52,52,52
325,52,52,52,52,52
326,44.14,44.14,44.14,44.14,44.14
327,35.41,35.41,35.41,35.41,35.41
328,31.29,31.29,31.29,31.29,31.29
329,28.56,28.56,28.56,28.56,28.56
330,25.24,25.24,25.24,25.24,25.24
331,23.12,23.12,23.12,23.12,23.12
332,21.39,21.39,21.39,21.39,21.39
333,22.87,22.87,22.87,22.87,22.87
334,19.54,19.54,19.54,19.54,19.54
335,19.82,19.82,19.82,19.82,19.82
336,18.1,18.1,18.1,18.1,18.1
337,22.57,22.57,22.57,22.57,22.57
338,25.05,25.05,25.05,25.05,25.05
339,24.52,24.52,24.52,24.52,24.52
340,24.6,24.6,24.6,24.6,24.6
341,22.48,22.48,22.48,22.48,22.48
342,27.15,27.15,27.15,27.15,27.15
343,30.83,30.83,30.83,30.83,30.83
344,22.1,22.1,22.1,22.1,22.1
345,17.58,17.58,17.58,17.58,17.58
346,16.25,16.25,16.25,16.25,16.25
347,15.13,15.13,15.13,15.13,15.13
348,14.21,14.21,14.21,14.21,14.21
349,13.6,13.6,13.6,13.6,13.6
350,12.86,12.86,12.86,12.86,12.86
351,12.64,12.64,12.64,12.64,12.64
352,11.66,11.66,11.66,11.66,11.66
353,10.43,10.43,10.43,10.43,10.43
354,9.17,9.17,9.17,9.17,9.17
355,8.53,8.53,8.53,8.53,8.53
356,8.07,8.07,8.07,8.07,8.07
357,7.6,7.6,7.6,7.6,7.6
358,7.18,7.18,7.18,7.18,7.18
359,6.96,6.96,6.96,6.96,6.96
360,6.64,6.64,6.64,6.64,6.64
361,6.88,6.88,6.88,6.88,6.88
362,5.95,5.95,5.95,5.95,5.95
363,5.65,5.65,5.65,5.65,5.65
364,5.33,5.33,5.33,5.33,5.33
365,5.2,5.2,5.2,5.2,5.2
366,5.54,5.54,5.54,5.54,5.54
367,6.58,6.58,6.58,6.58,6.58
368,10.02,10.02,10.02,10.02,10.02
369,8.2,8.2,8.2,8.2,8.2
370,5.69,5.69,5.69,5.69,5.69
371,5.2,5.2,5.2,5.2,5.2
372,5.2,5.2,5.2,5.2,5.2
373,5.2,5.2,5.2,5.2,5.2
374,5.2,5.2,5.2,5.2,5.2
375,5.2,5.2,5.2,5.2,5.2
376,5.2,5.2,5.2,5.2,5.2
377,5.2,5.2,5.2,5.2,5.2
378,5.2,5.2,5.2,5.2,5.2
379,5.2,5.2,5.2,5.2,5.2
380,5.2,5.2,5.2,5.2,5.2
381,5.2,5.2,5.2,5.2,5.2
382,5.2,5.2,5.2,5.2,5.2
383,5.2,5.2,5.2,5.2,5.2
384,5.2,5.2,5.2,5.2,5.2
385,5.2,5.2,5.2,5.2,5.2
386,5.2,5.2,5.2,5.2,5.2
387,5.2,5.2,5.2,5.2,5.2
388,5.2,5.2,5.2,5.2,5.2
389,5.2,5.2,5.2,5.2,5.2
390,5.2,5.2,5.2,5.2,5.2
391,5.2,5.2,5.2,5.2,5.2
392,5.2,5.2,5.2,5.2,5.2
393,5.2,5.2,5.2,5.2,5.2
394,5.2,5.2,5.2,5.2,5.2
395,5.2,5.2,5.2,5.2,5.2
396,5.2,5.2,5.2,5.2,5.2
397,5.2,5.2,5.2,5.2,5.2
398,5.2,5.2,5.2,5.2,5.2
399,5.2,5.2,5.2,5.2,5.2
400,5.2,5.2,5.2,5.2,5.2
401,5.2,5.2,5.2,5.2,5.2
402,5.2,5.2,5.2,5.2,5.2
403,5.2,5.2,5.2,5.2,5.2
404,5.2,5.2,5.2,5.2,5.2
405,5.2,5.2,5.2,5.2,5.2
406,5.2,5.2,5.2,5.2,5.2
407,5.2,5.2,5.2,5.2,5.2
408,5.2,5.2,5.2,5.2,5.2
409,5.2,5.2,5.2,5.2,5.2
410,5.2,5.2,5.2,5.2,5.2
411,5.2,5.2,5.2,5.2,5.2
412,5.2,5.2,5.2,5.2,5.2
413,5.2,5.2,5.2,5.2,5.2
