$Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4419,81.65,0,0,4.996,0,97.24,1620,265.8,12.8,0.1392,7.13E-02,0.2761,0.1512,0.1512,0.1512,0.1512,0.1,7.9,7.871,30.04,7.56E-04,7.56E-04,7.56E-04,7.56E-04,1.21E-02,1.21E-02,1.21E-02,1.21E-02
4420,81.91,0,0,4.998,0,97.59,1620,265.8,12.12,0.1376,7.01E-02,0.2667,0.1518,0.1518,0.1518,0.1518,0.1,7.9,7.867,30.09,7.59E-04,7.59E-04,7.59E-04,7.59E-04,1.21E-02,1.21E-02,1.21E-02,1.21E-02
4421,82.17,0,0,4.999,0,97.94,1620,265.8,11.44,0.1359,6.89E-02,0.2573,0.1523,0.1523,0.1523,0.1523,0.1,7.9,7.864,30.15,7.62E-04,7.62E-04,7.62E-04,7.62E-04,1.22E-02,1.22E-02,1.22E-02,1.22E-02
4422,82.42,0,0,5.001,0,98.29,1620,265.8,10.76,0.1343,6.77E-02,0.2479,0.1528,0.1528,0.1528,0.1528,0.1,7.9,7.86,30.2,7.64E-04,7.64E-04,7.64E-04,7.64E-04,1.22E-02,1.22E-02,1.22E-02,1.22E-02
4423,82.68,0,0,5.002,0,98.65,1620,265.8,10.08,0.1326,6.65E-02,0.2386,0.1534,0.1534,0.1534,0.1534,0.1,7.9,7.857,30.26,7.67E-04,7.67E-04,7.67E-04,7.67E-04,1.23E-02,1.23E-02,1.23E-02,1.23E-02
4424,82.93,0,0,5.004,0,99,1620,265.8,9.405,0.131,6.53E-02,0.2292,0.1539,0.1539,0.1539,0.1539,0.1,7.9,7.855,30.31,7.70E-04,7.70E-04,7.70E-04,7.70E-04,1.23E-02,1.23E-02,1.23E-02,1.23E-02
4425,83.19,0,0,5.006,0,98.67,1620,265.8,8.726,0.1293,6.41E-02,0.2198,0.1544,0.1544,0.1544,0.1544,0.1,7.9,7.853,30.37,7.72E-04,7.72E-04,7.72E-04,7.72E-04,1.24E-02,1.24E-02,1.24E-02,1.24E-02
4426,83.44,0,0,5.007,0,98.33,1620,265.8,8.047,0.1277,6.29E-02,0.2104,0.155,0.155,0.155,0.155,0.1,7.9,7.851,30.42,7.75E-04,7.75E-04,7.75E-04,7.75E-04,1.24E-02,1.24E-02,1.24E-02,1.24E-02
4427,83.7,0,0,5.009,0,98,1620,265.8,7.368,0.126,6.17E-02,0.2011,0.1555,0.1555,0.1555,0.1555,0.1,7.9,7.85,30.47,7.78E-04,7.78E-04,7.78E-04,7.78E-04,1.24E-02,1.24E-02,1.24E-02,1.24E-02
4428,83.95,0,0,5.01,0,97.67,1620,265.8,6.689,0.1244,6.05E-02,0.1917,0.156,0.156,0.156,0.156,0.1,7.9,7.849,30.53,7.80E-04,7.80E-04,7.80E-04,7.80E-04,1.25E-02,1.25E-02,1.25E-02,1.25E-02
