$inflows,
JDAY 1.0= 1/1/2000 12am,
JDAY,QIN
1321,86.48
1322,92.22
1323,96.36
1324,106.69
1325,103.83
1326,85.86
1327,77.69
1328,75.43
1329,126.36
1330,109.49
1331,109.63
1332,103.86
1333,89.39
1334,80.83
1335,75.16
1336,75.69
1337,87.13
1338,81.76
1339,77.19
1340,78.12
1341,84.46
1342,79.79
1343,134.22
1344,109.36
1345,122.49
1346,117.62
1347,103.46
1348,92.39
1349,98.42
1350,131.16
1351,123.29
1352,120.42
1353,132.56
1354,133.69
1355,144.7
1356,156.71
1357,172.72
1358,224.73
1359,184.74
1360,178.75
1361,171.76
1362,199.77
1363,194.78
1364,165.79
1365,146.8
1366,149.81
1367,190.82
1368,169.83
1369,158.84
1370,160.84
1371,138.85
1372,124.86
1373,122.87
1374,116.88
1375,163.89
1376,173.9
1377,162.91
1378,193.92
1379,206.93
1380,168.94
1381,155.95
1382,160.96
1383,158.97
1384,145.98
1385,132.95
1386,139.91
1387,144.88
1388,208.84
1389,222.81
1390,211.77
1391,238.74
1392,183.7
1393,218.67
1394,167.63
1395,166.6
1396,196.57
1397,228.53
1398,185.5
1399,166.46
1400,153.43
1401,143.39
1402,136.36
1403,118.32
1404,122.29
1405,108.26
1406,100.32
1407,94.79
1408,97.05
1409,97.42
1410,98.68
1411,110.05
1412,120.01
1413,136.98
1414,152.94
1415,162.91
1416,163.81
1417,132.72
1418,119.62
1419,114.52
1420,105.43
1421,110.33
1422,122.23
1423,126.13
1424,125.04
1425,116.94
1426,117.84
1427,108.75
1428,109.65
1429,112.55
1430,106.46
1431,155.36
1432,135.26
1433,125.16
1434,113.07
1435,106.97
1436,107.87
1437,98.48
1438,90.08
1439,85.38
1440,92.29
1441,92.79
1442,117.29
1443,109.19
1444,100.2
1445,90.5
1446,83.63
1447,79.56
1448,74.69
1449,71.51
1450,67.44
1451,64.87
1452,64
1453,60.23
1454,57.96
1455,56.08
1456,53.31
1457,52.94
1458,51.67
1459,51.2
1460,47.33
1461,45.25
1462,43.58
1463,42.11
1464,40.84
1465,40.57
1466,39.2
1467,38.22
1468,37.45
1469,37.68
1470,44.01
1471,44.34
1472,38.07
1473,34.89
1474,33.22
1475,32.15
1476,31.58
1477,32.26
1478,32.14
1479,30.12
1480,28.8
1481,28.18
1482,28.06
1483,27.24
1484,25.92
1485,25.6
1486,24.98
1487,24.16
1488,23.54
1489,23.22
1490,22.7
1491,22.28
1492,22.17
1493,22.85
1494,21.13
1495,21.91
1496,21.99
1497,21.57
1498,21.05
1499,20.93
1500,20.51
1501,19.99
1502,19.87
1503,19.75
1504,19.33
1505,20.11
1506,22.49
1507,20.17
1508,20.16
1509,19.76
1510,20.95
1511,20.74
1512,22.04
1513,20.23
1514,19.22
1515,19.32
1516,18.31
1517,17.6
1518,17.5
1519,17.19
1520,17.18
1521,17.38
1522,17.27
1523,16.57
1524,16.26
1525,16.15
1526,15.75
1527,18.54
1528,16.43
1529,16.43
1530,15.92
1531,16.91
1532,15.21
1533,14.8
1534,15.39
1535,14.09
1536,14.08
1537,13.89
1538,13.79
1539,13.6
1540,13.31
1541,13.01
1542,12.92
1543,12.83
1544,12.63
1545,12.44
1546,11.84
1547,11.75
1548,12.06
1549,13.56
1550,16.97
1551,15.48
1552,16.48
1553,18.29
1554,15.2
1555,14.9
1556,25.81
1557,16.22
1558,14.22
1559,13.43
1560,12.93
1561,12.74
1562,13.05
1563,12.85
1564,12.16
1565,12.57
1566,12.17
1567,11.78
1568,12.14
1569,12.1
1570,11.77
1571,17.73
1572,24.59
1573,23.85
1574,20.52
1575,24.78
1576,26.24
1577,24.2
1578,34.97
1579,41.93
1580,31.79
1581,24.05
1582,26.72
1583,26.38
1584,33.04
1585,34.1
1586,39.06
1587,37.03
1588,36.89
1589,32.05
1590,34.81
1591,33.78
1592,30.64
1593,26.5
1594,28.96
1595,32.33
1596,44.59
1597,44.65
1598,62.85
1599,71.86
1600,79.06
1601,138.06
1602,245.06
1603,134.07
1604,107.07
1605,146.07
1606,108.08
1607,98.08
1608,87.38
1609,76.18
1610,125.09
1611,135.09
1612,94.09
1613,81
1614,79.5
1615,78.5
1616,74.41
1617,67.31
1618,80.11
1619,82.21
1620,72.22
1621,80.92
1622,88.62
1623,89.73
1624,76.33
1625,67.23
1626,73.53
1627,73.04
1628,78.74
1629,79.54
1630,67.13
1631,74.13
1632,73.83
1633,63.42
1634,69.02
1635,62.31
1636,55.61
1637,54.61
1638,56.7
1639,78.8
1640,84.7
1641,64.59
1642,69.89
1643,66.29
1644,57.78
1645,53.38
1646,50.57
1647,71.67
1648,117.07
1649,116.06
1650,101.86
1651,96.26
1652,81.05
1653,73.25
1654,69.54
1655,72.34
1656,89.44
1657,92.23
1658,80.83
1659,80.5
1660,73.38
1661,73.85
1662,75.22
1663,86.59
1664,85.77
1665,80.64
1666,137.81
1667,128.79
1668,110.76
1669,90.73
1670,87.1
1671,79.78
1672,72.55
1673,67.02
1674,69.4
1675,62.67
1676,58.24
1677,83.92
1678,77.49
1679,63.26
1680,57.33
1681,53.61
1682,50.38
1683,49.65
1684,48.23
1685,49.4
1686,49.17
1687,47.84
1688,47.32
1689,61.09
1690,77.3
1691,57.41
1692,52.83
1693,64.74
1694,71.85
1695,93.16
1696,66.77
1697,60.29
1698,92.6
1699,90.61
1700,102.32
1701,109.53
1702,129.65
1703,121.76
1704,139.87
1705,139.98
1706,109.09
1707,120.2
1708,96.52
1709,95.43
1710,137.54
1711,109.65
1712,150.76
1713,168.88
1714,158.99
1715,165.1
1716,181.21
1717,171.32
1718,178.44
1719,167.55
1720,160.66
1721,153.74
1722,153.83
1723,151.91
1724,175.99
1725,161.08
1726,164.16
1727,154.24
1728,136.33
1729,134.41
1730,148.49
1731,157.58
1732,141.66
1733,139.74
1734,136.83
1735,159.91
1736,161.99
1737,144.08
1738,136.16
1739,157.24
1740,176.33
1741,169.41
1742,163.49
1743,173.58
1744,158.66
1745,153.74
1746,202.83
1747,209.91
1748,186.99
1749,169.08
1750,219.16
1751,213.04
1752,178.92
1753,185.8
1754,171.68
1755,166.56
1756,151.44
1757,196.32
1758,168.21
1759,165.09
1760,159.97
1761,154.85
1762,139.73
1763,140.61
1764,139.49
1765,155.37
1766,144.25
1767,131.13
1768,142.01
1769,129.89
1770,133.77
1771,139.65
1772,143.53
1773,150.41
1774,229.3
1775,240.18
1776,180.06
1777,160.94
1778,135.82
1779,124.7
1780,114.58
1781,106.46
1782,118.37
1783,108.28
1784,94.9
1785,89.01
1786,84.62
1787,80.33
1788,78.14
1789,84.66
1790,89.27
1791,89.18
1792,79.69
1793,73.2
1794,69.62
1795,66.03
1796,62.44
1797,59.65
1798,57.36
1799,54.98
1800,52.69
1801,50.8
1802,49.81
1803,50.22
1804,48.74
1805,46.55
1806,51.46
1807,63.57
1808,52.18
1809,49.1
1810,44.41
1811,42.12
1812,40.5
1813,40.09
1814,39.97
1815,39.36
1816,38.14
1817,39.12
1818,36.81
1819,34.89
1820,33.77
1821,32.86
1822,32.54
1823,31.83
1824,32.41
1825,33.89
1826,30.68
1827,30.16
1828,29.45
1829,29.13
1830,28.61
1831,28.7
1832,29.08
1833,27.57
1834,27.15
1835,26.73
1836,30.72
1837,35.1
1838,30.48
1839,32.37
1840,31.65
1841,32.04
1842,30.52
1843,30.01
1844,30.99
1845,29.68
1846,29.37
1847,30.86
1848,30.54
1849,30.53
1850,36.22
1851,44.3
1852,31.59
1853,28.58
1854,27.57
1855,26.25
1856,25.24
1857,24.33
1858,23.81
1859,23.4
1860,22.49
1861,21.77
1862,21.06
1863,20.65
1864,19.94
1865,19.62
1866,19.51
1867,19.1
1868,18.78
1869,18.57
1870,18.76
1871,18.25
1872,17.93
1873,17.72
1874,20.13
1875,24.24
1876,18.55
1877,18.06
1878,17.77
1879,17.18
1880,21.79
1881,20.8
1882,18.11
1883,17.32
1884,16.43
1885,16.14
1886,17.65
