$Reservoir distributed tributary flows - calculated using water balance QDT=outflows-inflows
JDAY 1.0= 1/1/2000 12am
JDAY,QDT,
  4717.0,   -6.05,
  4718.0,   -8.40,
  4719.0,  -13.49,
  4720.0,  -16.10,
  4721.0,   -3.42,
  4722.0,   -4.45,
  4723.0,   -9.09,
  4724.0,    1.47,
  4725.0,   -8.22,
  4726.0,   -6.02,
  4727.0,   -4.85,
  4728.0,   -4.66,
  4729.0,   -4.79,
  4730.0,   -5.89,
  4731.0,   -2.55,
  4732.0,   -6.25,
  4733.0,   -2.08,
  4734.0,   -5.05,
  4735.0,   -5.92,
  4736.0,    2.21,
  4737.0,   -1.05,
  4738.0,   -1.84,
  4739.0,    1.01,
  4740.0,    1.16,
  4741.0,   -0.52,
  4742.0,   -2.14,
  4743.0,   -3.71,
  4744.0,    6.15,
  4745.0,    1.92,
  4746.0,    1.44,
  4747.0,    1.59,
  4748.0,    2.48,
  4749.0,    1.46,
  4750.0,    2.86,
  4751.0,    2.14,
  4752.0,    1.30,
  4753.0,    3.85,
  4754.0,    3.69,
  4755.0,    3.73,
  4756.0,    4.36,
  4757.0,    4.10,
  4758.0,    4.14,
  4759.0,    4.66,
  4760.0,    4.66,
  4761.0,    4.72,
  4762.0,    4.60,
  4763.0,    3.84,
  4764.0,    1.37,
  4765.0,    2.31,
  4766.0,    4.26,
  4767.0,    6.20,
  4768.0,    5.65,
  4769.0,    5.69,
  4770.0,    6.32,
  4771.0,    6.17,
  4772.0,    4.68,
  4773.0,    2.63,
  4774.0,    2.74,
  4775.0,    8.85,
  4776.0,    6.63,
  4777.0,    6.45,
  4778.0,    5.91,
  4779.0,    5.71,
  4780.0,    6.48,
  4781.0,    6.02,
  4782.0,    5.75,
  4783.0,    5.20,
  4784.0,    4.26,
  4785.0,    6.23,
  4786.0,    6.02,
  4787.0,    6.42,
  4788.0,    6.24,
  4789.0,    6.07,
  4790.0,    6.50,
  4791.0,    6.16,
  4792.0,    6.10,
  4793.0,    5.77,
  4794.0,    5.49,
  4795.0,   13.02,
  4796.0,    7.29,
  4797.0,    7.35,
  4798.0,    8.21,
  4799.0,    8.06,
  4800.0,    7.35,
  4801.0,    6.79,
  4802.0,    6.22,
  4803.0,    5.74,
  4804.0,    6.00,
  4805.0,    2.87,
  4806.0,    8.08,
  4807.0,    7.34,
  4808.0,    6.46,
  4809.0,   -5.11,
  4810.0,   12.93,
  4811.0,    8.72,
  4812.0,    7.57,
  4813.0,    7.17,
  4814.0,    6.09,
  4815.0,    7.98,
  4816.0,    6.73,
  4817.0,    6.52,
  4818.0,    6.67,
  4819.0,    5.64,
  4820.0,    6.90,
  4821.0,    7.41,
  4822.0,    6.28,
  4823.0,    6.31,
  4824.0,    4.64,
  4825.0,    5.73,
  4826.0,    6.06,
  4827.0,    6.62,
  4828.0,    6.16,
  4829.0,    5.98,
  4830.0,    6.46,
  4831.0,    6.34,
  4832.0,    6.51,
  4833.0,    5.80,
  4834.0,    6.50,
  4835.0,    6.56,
  4836.0,    5.32,
  4837.0,    4.86,
  4838.0,    5.12,
  4839.0,    4.34,
  4840.0,   -0.44,
  4841.0,    6.44,
  4842.0,    6.78,
  4843.0,    0.44,
  4844.0,   14.89,
  4845.0,    8.80,
  4846.0,    6.61,
  4847.0,    5.28,
  4848.0,    4.51,
  4849.0,    3.02,
  4850.0,    4.07,
  4851.0,    3.11,
  4852.0,    3.42,
  4853.0,    1.64,
  4854.0,    6.33,
  4855.0,    4.14,
  4856.0,   -2.23,
  4857.0,    3.85,
  4858.0,   -5.79,
  4859.0,  -15.35,
  4860.0,    2.84,
  4861.0,    7.92,
  4862.0,    2.27,
  4863.0,   -1.52,
  4864.0,  -11.32,
  4865.0,   -1.65,
  4866.0,   -0.45,
  4867.0,   -6.83,
  4868.0,  -29.21,
  4869.0,   -0.05,
  4870.0,  -11.01,
  4871.0,    8.04,
  4872.0,    2.68,
  4873.0,   -7.13,
  4874.0,  -17.20,
  4875.0,    4.98,
  4876.0,   -1.62,
  4877.0,   -4.75,
  4878.0,  -16.39,
  4879.0,    6.67,
  4880.0,  -22.76,
  4881.0,    4.07,
  4882.0,  -17.83,
  4883.0,   -6.62,
  4884.0,  -15.40,
  4885.0,  -20.56,
  4886.0,   -7.47,
  4887.0,  -18.73,
  4888.0,  -15.85,
  4889.0,   -9.77,
  4890.0,   16.09,
  4891.0,   39.40,
  4892.0,   17.41,
  4893.0,   24.71,
  4894.0,    2.72,
  4895.0,  -19.43,
  4896.0,   -6.33,
  4897.0,   -1.12,
  4898.0,   31.26,
  4899.0,   10.56,
  4900.0,   33.87,
  4901.0,  -10.52,
  4902.0,   -0.72,
  4903.0,  -18.01,
  4904.0,  -16.10,
  4905.0,  -17.90,
  4906.0,    4.51,
  4907.0,   -7.08,
  4908.0,  -16.78,
  4909.0,  -21.77,
  4910.0,  -37.16,
  4911.0,    3.65,
  4912.0,  -15.34,
  4913.0,  -21.93,
  4914.0,  -22.82,
  4915.0,   21.71,
  4916.0,  -21.11,
  4917.0,  -15.95,
  4918.0,  -17.72,
  4919.0,   24.50,
  4920.0,   -3.76,
  4921.0,   -7.70,
  4922.0,   -6.64,
  4923.0,  -12.19,
  4924.0,  -20.72,
  4925.0,    4.45,
  4926.0,   -5.17,
  4927.0,  -17.47,
  4928.0,    6.59,
  4929.0,   -3.81,
  4930.0,   37.77,
  4931.0,    8.99,
  4932.0,    0.65,
  4933.0,   -9.13,
  4934.0,  -17.90,
  4935.0,    7.71,
  4936.0,  -17.15,
  4937.0,   -6.76,
  4938.0,  -18.44,
  4939.0,  -12.25,
  4940.0,   -2.75,
  4941.0,   31.73,
  4942.0,   -8.95,
  4943.0,  -10.94,
  4944.0,  -13.03,
  4945.0,  -12.69,
  4946.0,  -10.56,
  4947.0,  -19.79,
  4948.0,   -2.32,
  4949.0,   12.71,
  4950.0,   -8.33,
  4951.0,   53.39,
  4952.0,   71.36,
  4953.0,    0.62,
  4954.0,   -7.01,
  4955.0,  -10.03,
  4956.0,   -8.84,
  4957.0,  -14.65,
  4958.0,  -30.09,
  4959.0,    3.25,
