$spokane temperature and wind data data -2000,,,,,,
cloud cover based on odessa short wave solar data,,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,
8.706,2.8,-2.8,9.78,4.01,0,
8.747,1.7,-3.3,8.75,3.84,0,
8.789,1.1,-4.4,8.23,4.19,0,
8.831,0.6,-4.4,9.26,4.01,0,
8.872,0.6,-4.4,8.75,4.01,0,
8.914,0,-4.4,9.26,4.01,0,
8.956,0,-4.4,8.75,3.84,0,
8.997,0,-4.4,5.15,3.67,0,
9.039,0,-4.4,7.2,3.67,0,
9.081,0,-3.9,7.2,3.32,0,
9.122,0,-2.8,8.75,3.49,0,
9.164,0,-2.2,8.23,3.32,0,
9.206,0.6,-1.7,9.26,3.67,0,
9.247,0,-1.1,9.78,3.67,0,
9.289,0,-0.6,8.75,3.32,0,
9.331,0.6,-0.6,8.75,3.14,0,
9.372,1.1,-0.6,12.86,3.49,0,
9.414,1.7,0,13.89,3.49,0,
9.456,2.2,0,16.46,3.49,0,
9.497,2.8,0.6,12.35,4.01,0,
9.539,3.3,-3.9,15.44,4.19,0,
9.581,2.8,-3.9,13.38,4.54,0,
9.622,1.7,-5,14.92,4.54,0,
9.664,0.6,-6.1,15.44,4.54,0,
9.706,-0.6,-6.7,10.8,4.54,0,
9.747,-0.6,-7.8,9.26,4.71,0,
9.789,-1.1,-8.3,12.35,4.36,0,
9.831,-2.2,-6.1,7.2,4.36,0,
9.872,-2.2,-6.7,9.26,4.19,0,
9.914,-2.8,-6.1,6.69,4.19,0,
9.956,-3.3,-5.6,8.23,3.84,0,
9.997,-3.3,-5.6,5.66,4.19,0,
10.039,-4.4,-6.1,5.15,4.19,8.85,
10.081,-4.4,-6.7,1.54,2.27,8.85,
10.122,-5.6,-7.8,2.06,2.62,8.85,
10.164,-5,-7.2,4.63,3.14,8.85,
10.206,-4.4,-6.7,5.15,3.49,8.85,
10.247,-5,-6.1,5.66,2.97,8.85,
10.289,-5,-5.6,5.15,3.32,8.85,
10.331,-3.9,-4.4,4.12,3.14,8.85,
10.372,-3.3,-3.9,4.12,3.14,8.85,
10.414,-2.2,-3.3,2.57,2.79,8.85,
10.456,-1.1,-3.3,3.09,3.14,8.85,
10.497,-1.1,-3.3,3.09,2.79,8.85,
10.539,-0.6,-2.8,3.09,2.62,8.85,
10.581,-0.6,-2.2,2.57,1.75,8.85,
10.622,-0.6,-3.9,3.09,2.09,8.85,
10.664,-1.1,-2.8,3.09,1.92,8.85,
10.706,-1.7,-2.8,2.57,1.05,8.85,
10.747,-2.2,-2.8,2.57,0.7,8.85,
10.789,-2.8,-3.3,2.57,0.87,8.85,
10.831,-2.8,-3.9,2.06,0.7,8.85,
10.872,-2.8,-3.9,3.09,0.35,8.85,
10.914,-3.3,-3.9,3.09,0.52,8.85,
10.956,-3.3,-3.9,2.57,0.7,8.85,
10.997,-3.3,-3.9,2.06,0.35,8.85,
11.039,-3.3,-4.4,2.06,0.52,9.24,
11.081,-3.9,-4.4,1.54,0.17,9.24,
11.122,-3.3,-4.4,0,0,9.24,
11.164,-3.3,-3.9,0,0,9.24,
11.206,-3.3,-3.9,0,0,9.24,
11.247,-3.3,-3.9,0,0,9.24,
11.289,-2.2,-2.8,3.6,4.01,9.24,
11.331,-2.2,-3.3,4.63,4.19,9.24,
11.372,-2.2,-4.4,5.15,3.84,9.24,
11.414,-2.2,-3.9,4.63,3.32,9.24,
11.456,-1.7,-3.9,3.09,3.32,9.24,
11.497,-1.7,-3.9,2.57,3.67,9.24,
11.539,-1.1,-3.3,1.54,3.32,9.24,
11.581,-1.1,-3.9,0,0,9.24,
11.622,-1.7,-2.8,2.06,2.27,9.24,
11.664,-1.7,-2.2,0,0,9.24,
11.706,-1.7,-2.2,2.06,2.44,9.24,
11.747,-2.2,-3.3,1.54,3.49,9.24,
11.789,-2.2,-2.8,2.57,4.19,9.24,
11.831,-2.8,-3.3,2.06,4.19,9.24,
11.872,-2.2,-3.3,2.57,4.19,9.24,
11.914,-2.2,-2.8,5.15,3.84,9.24,
11.956,-2.2,-3.3,5.66,3.67,9.24,
11.997,-2.2,-3.3,7.2,3.67,9.24,
12.039,-2.2,-3.9,7.2,3.67,7.17,
12.081,-2.2,-3.9,8.75,3.84,7.17,
12.122,-2.2,-4.4,8.75,3.84,7.17,
12.164,-2.8,-5,8.75,3.67,7.17,
12.206,-3.3,-4.4,8.75,3.84,7.17,
12.247,-3.3,-4.4,7.72,3.84,7.17,
12.289,-3.3,-4.4,9.26,3.67,7.17,
12.331,-3.9,-5.6,6.17,3.49,7.17,
12.372,-3.9,-5.6,5.66,3.32,7.17,
12.414,-2.8,-5.6,5.66,3.49,7.17,
12.456,-3.3,-6.1,5.66,3.49,7.17,
12.497,-2.8,-5.6,6.17,3.49,7.17,
12.539,-1.1,-5,5.66,3.67,7.17,
12.581,-1.7,-5,5.66,3.67,7.17,
12.622,-1.1,-5,5.66,3.49,7.17,
12.664,-1.1,-5,5.15,3.14,7.17,
12.706,-1.7,-4.4,3.6,2.27,7.17,
12.747,-2.2,-5.6,3.6,2.27,7.17,
12.789,-2.2,-6.1,4.63,2.27,7.17,
12.831,-2.8,-6.1,3.09,2.44,7.17,
12.872,-2.2,-5,3.09,2.79,7.17,
12.914,-1.1,-4.4,4.12,2.27,7.17,
12.956,-0.6,-4.4,4.63,2.09,7.17,
12.997,-1.1,-4.4,4.12,1.92,7.17,
13.039,-1.1,-3.3,5.15,2.09,9.37,
13.081,-0.6,-3.3,4.63,2.27,9.37,
13.122,-0.6,-3.9,5.66,2.44,9.37,
13.164,-0.6,-2.8,4.63,2.62,9.37,
13.206,-1.1,-2.2,5.15,2.62,9.37,
13.247,-1.1,-2.2,6.69,2.62,9.37,
13.289,-1.1,-2.2,6.69,2.44,9.37,
13.331,-0.6,-1.7,6.17,2.62,9.37,
13.372,-0.6,-1.1,5.66,2.62,9.37,
13.456,0,-1.1,5.66,2.62,9.37,
13.497,0.6,-0.6,6.17,2.62,9.37,
13.539,0.6,-0.6,4.12,2.44,9.37,
13.581,1.1,-0.6,4.12,2.79,9.37,
13.622,1.1,-0.6,4.63,2.62,9.37,
13.664,0.6,0,3.09,2.27,9.37,
13.706,0,0,2.06,1.4,9.37,
13.747,0,0,3.6,1.05,9.37,
13.789,0,0,4.12,1.05,9.37,
13.831,0,0,4.63,1.05,9.37,
13.872,0,-0.6,4.63,0.87,9.37,
13.914,0,-0.6,3.6,1.22,9.37,
13.956,0,0,2.06,1.22,9.37,
13.997,0,0,2.06,1.57,9.37,
14.039,0.6,0.6,2.57,1.92,9.58,
14.081,1.1,0.6,2.06,1.92,9.58,
14.122,0.6,0.6,2.57,2.44,9.58,
14.164,0.6,0.6,0,0,9.58,
14.206,1.1,1.1,3.09,2.62,9.58,
14.247,1.1,1.1,4.63,2.44,9.58,
14.289,1.7,1.1,5.15,2.44,9.58,
14.331,1.7,1.1,3.09,1.92,9.58,
14.372,1.7,1.7,2.06,0.7,9.58,
14.414,2.2,1.7,2.57,0.52,9.58,
14.456,2.8,2.2,1.54,0.17,9.58,
14.497,3.9,2.8,6.17,2.97,9.58,
14.539,3.9,2.2,8.75,2.79,9.58,
14.581,3.9,2.2,7.2,2.62,9.58,
14.622,5,1.7,10.8,3.32,9.58,
14.664,3.3,1.7,8.23,3.84,9.58,
14.706,2.8,0.6,7.2,3.84,9.58,
14.747,2.2,0.6,9.26,3.84,9.58,
14.789,2.2,0,10.29,3.67,9.58,
14.831,2.2,-0.6,8.23,3.84,9.58,
14.872,1.1,-1.1,6.17,3.67,9.58,
14.914,1.1,-2.8,8.75,3.84,9.58,
14.956,0.6,-2.8,9.78,3.84,9.58,
14.997,0.6,-3.3,10.8,3.67,9.58,
15.039,-0.6,-4.4,10.8,3.84,3.58,
15.081,-1.1,-4.4,9.26,3.84,3.58,
15.122,-1.7,-5,7.2,3.84,3.58,
15.164,-2.2,-5.6,6.69,3.67,3.58,
15.206,-2.8,-5.6,5.15,3.49,3.58,
15.247,-2.8,-5.6,3.6,3.32,3.58,
15.289,-3.3,-5.6,3.6,3.32,3.58,
15.331,-3.3,-5.6,5.15,3.32,3.58,
15.372,-3.3,-4.4,3.6,2.79,3.58,
15.414,-1.7,-4.4,5.66,2.62,3.58,
15.456,0,-3.9,4.63,2.27,3.58,
15.497,0.6,-3.9,4.63,2.09,3.58,
15.539,0.6,-4.4,4.12,2.09,3.58,
15.581,0.6,-5.6,3.6,2.09,3.58,
15.622,1.1,-6.1,2.06,1.22,3.58,
15.664,0.6,-5,3.09,0.87,3.58,
15.706,-1.1,-4.4,3.09,0.52,3.58,
15.747,-1.1,-5,3.09,0.7,3.58,
15.789,-1.7,-4.4,3.09,0.52,3.58,
15.831,-1.7,-4.4,3.6,0.52,3.58,
15.872,-1.7,-4.4,3.6,0.7,3.58,
15.914,-1.1,-5,4.63,0.87,3.58,
15.956,-1.1,-4.4,4.63,0.7,3.58,
15.997,-1.7,-3.3,3.6,0.35,3.58,
16.039,-2.2,-2.8,4.63,0.7,1.67,
16.081,-2.2,-2.8,4.12,0.7,1.67,
16.122,-2.2,-2.8,5.15,0.7,1.67,
16.164,-1.7,-1.7,5.15,0.7,1.67,
16.206,-1.1,-1.1,5.66,0.7,1.67,
16.247,-0.6,-1.1,5.66,0.87,1.67,
16.289,-0.6,-1.1,4.63,0.7,1.67,
16.331,0,-0.6,5.15,0.87,1.67,
16.372,0,0,5.15,1.05,1.67,
16.414,0.6,0,4.12,1.05,1.67,
16.456,0.6,0,11.83,4.36,1.67,
16.497,1.1,0,4.63,4.01,1.67,
16.539,2.2,0.6,6.69,3.14,1.67,
16.581,2.8,0.6,7.2,3.49,1.67,
16.622,2.8,-0.6,7.72,3.67,1.67,
16.664,2.2,-0.6,5.66,3.14,1.67,
16.706,2.8,-0.6,6.17,3.32,1.67,
16.747,3.3,-2.8,11.83,3.84,1.67,
16.789,2.8,-2.8,10.29,3.84,1.67,
16.831,2.8,-2.8,13.38,3.67,1.67,
16.872,1.7,-2.8,6.69,3.67,1.67,
16.914,2.2,-2.8,8.75,3.49,1.67,
16.956,1.7,-2.8,9.78,3.49,1.67,
16.997,1.1,-3.3,7.72,3.84,1.67,
