$Temperature file for segment 86,,
,,
JDAY,T,
6.45,5.12,
6.46,5.13,
6.47,5.14,
6.48,5.15,
6.49,5.16,
6.5,5.18,
6.51,5.19,
6.52,5.21,
6.53,5.23,
6.54,5.25,
6.55,5.27,
6.56,5.29,
6.57,5.31,
6.58,5.33,
6.59,5.35,
6.6,5.37,
6.61,5.39,
6.62,5.4,
6.63,5.42,
6.64,5.44,
6.65,5.46,
6.66,5.48,
6.67,5.49,
6.68,5.51,
6.69,5.52,
6.7,5.54,
6.71,5.55,
6.72,5.56,
6.73,5.58,
6.74,5.59,
6.75,5.6,
6.76,5.61,
6.77,5.62,
6.78,5.63,
6.79,5.64,
6.8,5.64,
6.81,5.65,
6.82,5.65,
6.83,5.65,
6.84,5.65,
6.85,5.65,
6.86,5.64,
6.87,5.64,
6.88,5.64,
6.89,5.63,
6.9,5.62,
6.91,5.62,
6.92,5.61,
6.93,5.61,
6.94,5.6,
6.95,5.59,
6.96,5.58,
6.97,5.56,
6.98,5.55,
6.99,5.54,
7,5.52,
7.01,5.51,
7.02,5.49,
7.03,5.48,
7.04,5.46,
7.05,5.45,
7.06,5.43,
7.07,5.41,
7.08,5.4,
7.09,5.38,
7.1,5.37,
7.11,5.35,
7.12,5.34,
7.13,5.32,
7.14,5.31,
7.15,5.3,
7.16,5.28,
7.17,5.26,
7.18,5.25,
7.19,5.23,
7.2,5.22,
7.21,5.2,
7.22,5.19,
7.23,5.17,
7.24,5.16,
7.25,5.14,
7.26,5.13,
7.27,5.11,
7.28,5.1,
7.29,5.09,
7.3,5.07,
7.31,5.06,
7.32,5.05,
7.33,5.04,
7.34,5.02,
7.35,5.02,
7.36,5.01,
7.37,5,
7.38,5,
7.39,5,
7.4,5,
7.41,5,
7.42,5,
7.43,5,
7.44,5,
7.45,5.01,
7.46,5.02,
7.47,5.03,
7.48,5.04,
7.49,5.05,
7.5,5.06,
7.51,5.07,
7.52,5.09,
7.53,5.1,
7.54,5.11,
7.55,5.12,
7.56,5.13,
7.57,5.15,
7.58,5.16,
7.59,5.17,
7.6,5.19,
7.61,5.2,
7.62,5.22,
7.63,5.24,
7.64,5.25,
7.65,5.27,
7.66,5.28,
7.67,5.3,
7.68,5.31,
7.69,5.32,
7.7,5.33,
7.71,5.34,
7.72,5.35,
7.73,5.37,
7.74,5.38,
7.75,5.39,
7.76,5.4,
7.77,5.41,
7.78,5.42,
7.79,5.42,
7.8,5.43,
7.81,5.43,
7.82,5.43,
7.83,5.43,
7.84,5.43,
7.85,5.42,
7.86,5.42,
7.87,5.41,
7.88,5.41,
7.89,5.4,
7.9,5.39,
7.91,5.39,
7.92,5.38,
7.93,5.37,
7.94,5.37,
7.95,5.36,
7.96,5.35,
7.97,5.34,
7.98,5.32,
7.99,5.31,
8,5.3,
8.01,5.29,
8.02,5.28,
8.03,5.26,
8.04,5.25,
8.05,5.23,
8.06,5.22,
8.07,5.2,
8.08,5.19,
8.09,5.17,
8.1,5.16,
8.11,5.15,
8.12,5.13,
8.13,5.12,
8.14,5.1,
8.15,5.09,
8.16,5.07,
8.17,5.06,
8.18,5.05,
8.19,5.04,
8.2,5.02,
8.21,5.01,
8.22,4.99,
8.23,4.98,
8.24,4.97,
8.25,4.95,
8.26,4.94,
8.27,4.93,
8.28,4.91,
8.29,4.9,
8.3,4.89,
8.31,4.87,
8.32,4.86,
8.33,4.85,
8.34,4.84,
8.35,4.83,
8.36,4.82,
8.37,4.81,
8.38,4.81,
8.39,4.8,
8.4,4.79,
8.41,4.79,
8.42,4.79,
8.43,4.78,
8.44,4.78,
8.45,4.78,
8.46,4.78,
8.47,4.79,
8.48,4.79,
8.49,4.79,
8.5,4.79,
8.51,4.8,
8.52,4.8,
8.53,4.81,
8.54,4.81,
8.55,4.82,
8.56,4.82,
8.57,4.83,
8.58,4.83,
8.59,4.84,
8.6,4.85,
8.61,4.86,
8.62,4.87,
8.63,4.88,
8.64,4.88,
8.65,4.89,
8.66,4.9,
8.67,4.91,
8.68,4.92,
8.69,4.92,
8.7,4.93,
8.71,4.94,
8.72,4.95,
8.73,4.95,
8.74,4.96,
8.75,4.97,
8.76,4.98,
8.77,4.99,
8.78,4.99,
8.79,5,
8.8,5.01,
8.81,5.01,
8.82,5.02,
8.83,5.02,
8.84,5.02,
8.85,5.03,
8.86,5.03,
8.87,5.03,
8.88,5.02,
8.89,5.02,
8.9,5.02,
8.91,5.02,
8.92,5.02,
8.93,5.02,
8.94,5.01,
8.95,5.01,
8.96,5.01,
8.97,5,
8.98,5,
8.99,5,
9,4.99,
9.01,4.99,
9.02,4.98,
9.03,4.97,
9.04,4.97,
9.05,4.96,
9.06,4.95,
9.07,4.95,
9.08,4.94,
9.09,4.93,
9.1,4.92,
9.11,4.92,
9.12,4.91,
9.13,4.9,
9.14,4.89,
9.15,4.88,
9.16,4.87,
9.17,4.86,
9.18,4.85,
9.19,4.84,
9.2,4.83,
9.21,4.82,
9.22,4.81,
9.23,4.81,
9.24,4.8,
9.25,4.79,
9.26,4.79,
9.27,4.79,
9.28,4.79,
9.29,4.78,
9.3,4.78,
9.31,4.78,
9.32,4.78,
9.33,4.79,
9.34,4.8,
9.35,4.8,
9.36,4.81,
9.37,4.82,
9.38,4.83,
9.39,4.84,
9.4,4.85,
9.41,4.85,
9.42,4.86,
9.43,4.86,
9.44,4.86,
9.45,4.87,
9.46,4.87,
9.47,4.87,
9.48,4.88,
9.49,4.88,
9.5,4.88,
9.51,4.89,
9.52,4.89,
9.53,4.9,
9.54,4.91,
9.55,4.93,
9.56,4.94,
9.57,4.95,
9.58,4.96,
9.59,4.97,
9.6,4.98,
9.61,4.99,
9.62,5,
9.63,5,
9.64,5.01,
9.65,5.02,
9.66,5.02,
9.67,5.03,
9.68,5.03,
9.69,5.03,
9.7,5.04,
9.71,5.04,
9.72,5.05,
9.73,5.05,
9.74,5.06,
9.75,5.07,
9.76,5.07,
9.77,5.08,
9.78,5.08,
9.79,5.08,
9.8,5.08,
9.81,5.08,
9.82,5.08,
9.83,5.08,
9.84,5.07,
9.85,5.07,
9.86,5.06,
9.87,5.06,
9.88,5.05,
9.89,5.05,
9.9,5.04,
9.91,5.03,
9.92,5.03,
9.93,5.02,
9.94,5.02,
9.95,5.01,
9.96,5,
9.97,4.99,
9.98,4.99,
9.99,4.98,
10,4.98,
10.01,4.97,
10.02,4.96,
10.03,4.95,
10.04,4.94,
10.05,4.93,
10.06,4.92,
10.07,4.92,
10.08,4.91,
10.09,4.9,
10.1,4.89,
10.11,4.89,
10.12,4.88,
10.13,4.88,
10.14,4.87,
10.15,4.87,
10.16,4.86,
10.17,4.86,
10.18,4.86,
10.19,4.86,
10.2,4.86,
10.21,4.86,
10.22,4.86,
10.23,4.87,
10.24,4.87,
10.25,4.87,
10.26,4.88,
10.27,4.89,
10.28,4.89,
10.29,4.9,
10.3,4.91,
10.31,4.92,
10.32,4.93,
10.33,4.94,
