$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42,
   0.500,     0.000,    29.200,    29.200,    44.700,    60.200,    75.600,    91.100,     0.000,     0.000,   101.200,   102.100,   103.000,   103.900,   104.800,   105.700,   106.600,   107.500,   108.300,   109.200,    91.100,    96.100,   101.200,   106.200,   111.300,   116.300,   123.800,   173.600,   151.800,    98.400,   122.000,   129.700,   112.100,    96.100,    92.000,    87.900,    83.800,    79.700,    75.600,    71.600,    67.500,    63.400,     0.000, 20
   0.500,     0.000,    27.200,    27.200,    42.700,    58.200,    73.600,    89.100,     0.000,     0.000,    99.200,   100.100,   101.000,   101.900,   102.800,   103.700,   104.600,   105.500,   106.300,   107.200,    91.000,    95.700,   100.300,   105.000,   109.700,   114.400,   121.400,   169.900,   149.600,    97.600,   119.600,   114.900,   106.600,    94.500,    90.600,    86.700,    82.800,    78.900,    75.000,    71.000,    67.100,    63.200,     0.000, 21
   0.500,     0.000,    25.200,    25.200,    40.700,    56.200,    71.600,    87.100,     0.000,     0.000,    97.200,    98.100,    99.000,    99.900,   100.800,   101.700,   102.600,   103.500,   104.300,   105.200,    90.900,    95.200,    99.400,   103.700,   108.000,   112.300,   118.900,   166.200,   147.400,    96.900,   116.600,    95.100,    97.300,    92.800,    89.100,    85.300,    81.600,    77.900,    74.200,    70.500,    66.700,    63.000,     0.000, 22
   0.500,     0.000,    23.200,    23.200,    38.700,    54.200,    69.600,    85.100,     0.000,     0.000,    95.200,    96.100,    97.000,    97.900,    98.800,    99.700,   100.600,   101.500,   102.300,   103.200,    90.800,    94.600,    98.500,   102.300,   106.200,   110.000,   116.100,   162.600,   145.200,    95.500,   112.600,    87.100,    90.200,    90.800,    87.300,    83.800,    80.300,    76.800,    73.300,    69.800,    66.300,    62.800,     0.000, 23
   0.500,     0.000,    21.200,    21.200,    36.700,    52.200,    67.600,    83.100,     0.000,     0.000,    93.200,    94.100,    95.000,    95.900,    96.800,    97.700,    98.600,    99.500,   100.300,   101.200,    90.700,    94.100,    97.500,   100.900,   104.300,   107.700,   113.400,   158.400,   141.400,    91.600,    99.100,    82.800,    84.100,    88.900,    85.600,    82.300,    79.000,    75.700,    72.400,    69.100,    65.900,    62.600,     0.000, 24
   0.500,     0.000,    19.200,    19.200,    34.700,    50.200,    65.600,    81.100,     0.000,     0.000,    91.200,    92.100,    93.000,    93.900,    94.800,    95.700,    96.600,    97.500,    98.300,    99.200,    90.600,    93.400,    96.300,    99.200,   102.000,   104.900,   110.100,   151.400,   132.900,    87.100,    85.700,    78.500,    78.000,    86.900,    83.900,    80.800,    77.700,    74.700,    71.600,    68.500,    65.400,    62.400,     0.000, 25
   0.500,     0.000,    17.200,    17.200,    32.700,    48.200,    63.600,    79.100,     0.000,     0.000,    89.200,    90.100,    91.000,    91.900,    92.800,    93.700,    94.600,    95.500,    96.300,    97.200,    90.400,    92.700,    94.900,    97.200,    99.400,   101.600,   106.400,   143.100,   122.200,    85.200,    82.600,    74.300,    71.800,    85.600,    82.700,    79.800,    76.900,    73.900,    71.000,    68.100,    65.200,    62.200,     0.000, 26
   0.500,     0.000,    15.200,    15.200,    30.700,    46.200,    61.600,    77.100,     0.000,     0.000,    87.200,    88.100,    89.000,    89.900,    90.800,    91.700,    92.600,    93.500,    94.300,    95.200,    90.300,    91.900,    93.500,    95.200,    96.800,    98.400,   102.700,   140.400,   120.000,    83.400,    80.600,    70.900,    66.700,    84.600,    81.800,    78.900,    76.100,    73.300,    70.500,    67.700,    64.900,    62.100,     0.000, 27
   0.500,     0.000,    13.200,    13.200,    28.700,    44.200,    59.600,    75.100,     0.000,     0.000,    85.200,    86.100,    87.000,    87.900,    88.800,    89.700,    90.600,    91.500,    92.300,    93.200,    90.100,    91.100,    92.100,    93.100,    94.100,    95.100,    99.000,   137.800,   117.500,    81.100,    78.600,    68.100,    65.500,    83.400,    80.800,    78.100,    75.400,    72.700,    70.000,    67.300,    64.700,    62.000,     0.000, 28
   0.500,     0.000,    11.200,    11.200,    26.700,    42.200,    57.600,    73.100,     0.000,     0.000,    83.200,    84.100,    85.000,    85.900,    86.800,    87.700,    88.600,    89.500,    90.300,    91.200,    90.000,    90.300,    90.600,    91.000,    91.300,    91.600,    95.000,   134.900,   115.000,    78.900,    76.400,    64.600,    64.700,    82.200,    79.700,    77.100,    74.600,    72.000,    69.500,    66.900,    64.400,    61.800,     0.000, 29
