 JDAY =    582.486722229035     
QIN:,94.712865,27355.211327,
QTR:,.076500,.243600,1.219700,.178400,.342700,13.290000,.010000,1.132500,.056500,.010400,.001200,.000000,
QDT:,.000000,.000000,
QWD:,10.395500,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
54,2,A,104,211.505846,-7.209168,-7.112635,67656.458421,67093.692874,.831799,7.809168,7.712635,996.057866,996.115294,27.025395,27.025395,66.696055,67.359232
55,2,A,104,214.145530,-9.744836,-9.758921,44126.320811,43563.508709,1.275457,10.344836,10.358921,1255.692053,1245.870290,27.083640,27.083640,34.717115,34.692828
56,2,A,104,213.012193,-8.603215,-8.633376,-17926.311305,-18489.287505,-3.140502,9.203215,9.233376,682.721858,675.702919,27.100756,27.100756,-26.322841,-27.081728
57,2,A,104,210.323976,-5.942216,-5.955069,-24723.712432,-25286.593192,-2.276684,6.542216,6.555069,339.707294,339.046063,27.189440,27.189440,-73.269560,-74.436415
58,2,A,104,209.978372,-5.621502,-5.620032,-24025.822627,-24588.742386,-2.342978,6.221502,6.220032,264.889241,265.121225,27.233609,27.233609,-91.996891,-92.826505
59,2,A,104,209.504800,-5.160001,-5.156729,-22517.887648,-23080.664733,-2.499245,5.760001,5.756729,247.189386,247.298574,27.292896,27.292896,-92.860819,-93.372394
60,2,A,104,209.682039,-5.342094,-5.343403,-23022.382050,-23585.253372,-2.444887,5.942094,5.943403,259.702265,259.693692,27.332254,27.332254,-90.154132,-90.816510
61,2,A,104,209.301511,-4.973237,-4.972321,-22595.778031,-23158.566664,-2.490680,5.573237,5.572321,301.200714,301.241400,27.605512,27.605512,-75.972425,-76.887489
62,2,A,104,209.584119,-5.265327,-5.265521,-22706.176812,-23269.008711,-2.478761,5.865327,5.865521,329.392014,329.399408,27.862344,27.862344,-69.668398,-70.642298
63,2,A,104,209.513487,-5.203290,-5.203112,-22664.954893,-23227.763257,-2.483166,5.803290,5.803112,335.988144,335.996949,27.913789,27.913789,-68.111519,-69.132687
64,2,A,104,209.552657,-5.247052,-5.247058,-22666.315458,-23229.135479,-2.483068,5.847052,5.847058,346.493302,346.499105,27.927264,27.927264,-65.964571,-67.040648
65,2,A,104,209.534040,-5.235980,-5.235772,-22575.945625,-23138.765205,-2.493006,5.835980,5.835772,363.430599,363.424866,27.928936,27.928936,-62.543668,-63.667631
66,2,A,104,209.576946,-5.289871,-5.290373,-22845.133340,-23407.953047,-2.463631,5.889871,5.890373,377.198919,377.201647,27.926425,27.926425,-60.176467,-61.404917
67,2,A,104,209.674737,-5.403585,-5.403249,-22406.737841,-22971.068280,-2.518575,6.003585,6.003249,351.992981,351.959584,27.925796,27.925796,-64.610201,-65.260018
68,2,A,104,209.637999,-5.381225,-5.382358,-23267.462593,-23830.329592,-2.419116,5.981225,5.982358,329.901715,329.963411,27.998648,27.998648,-71.200803,-72.234634
69,2,A,104,209.399424,-5.155534,-5.154278,-22890.179889,-23452.998558,-2.458778,5.755534,5.754278,346.175557,346.281416,28.057802,28.057802,-66.678635,-67.748858
70,2,A,104,209.398960,-5.161053,-5.160206,-22619.071284,-23181.891343,-2.488254,5.761053,5.760206,357.561802,357.509098,28.104246,28.104246,-63.680300,-64.833243
71,2,A,104,209.772268,-5.538522,-5.540994,-23435.221980,-23998.057994,-2.401667,6.138522,6.140994,354.256159,354.142050,28.119372,28.119372,-66.574212,-67.742105
72,2,A,104,209.555859,-5.335943,-5.335525,-23152.589566,-23715.389403,-2.430829,5.935943,5.935525,340.408039,340.357555,28.165080,28.165080,-68.556557,-69.667536
73,2,A,104,209.684936,-5.475347,-5.476527,-23732.611172,-24295.442628,-2.371553,6.075347,6.076527,323.008556,323.004700,28.224022,28.224022,-74.107586,-75.216096
74,2,A,104,209.606596,-5.408088,-5.407141,-23394.665510,-23957.495563,-2.405805,6.008088,6.007141,305.144538,305.364469,28.226082,28.226082,-77.526988,-78.511959
75,2,A,104,209.526366,-5.335098,-5.332212,-23038.914734,-23601.769455,-2.443061,5.935098,5.932212,294.213738,294.435669,28.225061,28.225061,-79.320460,-80.219808
76,2,A,104,209.430647,-5.241530,-5.239716,-22735.205877,-23298.026067,-2.475545,5.841530,5.839716,292.372890,292.477719,28.261535,28.261535,-78.769433,-79.686000
77,2,A,104,209.420554,-5.236517,-5.237117,-23083.350403,-23646.165843,-2.438188,5.836517,5.837117,345.140927,345.124842,28.200977,28.200977,-67.424307,-68.511625
78,2,A,104,209.452825,-5.283410,-5.282879,-22701.950923,-23264.760787,-2.479126,5.883410,5.882879,361.081968,361.098712,28.034928,28.034928,-63.332604,-64.430691
79,2,A,104,209.591444,-5.440936,-5.441136,-23060.863147,-23623.689423,-2.440612,6.040936,6.041136,312.089839,312.067588,28.238754,28.238754,-74.835910,-75.695157
80,2,A,104,209.467282,-5.339351,-5.339532,-23219.126050,-23781.954265,-2.423985,5.939351,5.939532,307.025471,307.027412,28.187368,28.187368,-76.572819,-77.459222
81,2,A,104,209.386670,-5.278728,-5.278585,-23081.031813,-23643.774285,-2.438117,5.878728,5.878585,453.322473,453.154774,28.131987,28.131987,-51.234271,-52.156634
82,2,A,104,209.624384,-5.525341,-5.526514,-23344.029935,-23906.926398,-2.411308,6.125341,6.126514,480.059340,479.949729,28.045731,28.045731,-48.925691,-49.799940
83,2,A,104,209.368859,-5.277283,-5.276349,-22755.613630,-23318.396314,-2.473160,5.877283,5.876349,442.588741,442.646451,27.928075,27.928075,-51.726259,-52.686375
84,2,A,104,209.674913,-5.593127,-5.594230,-23656.233823,-24219.089240,-2.379311,6.193127,6.194230,351.946676,351.960873,28.081632,28.081632,-67.884157,-68.814655
85,2,A,104,209.208494,-5.144220,-5.142850,-22688.485043,-23251.293764,-2.480592,5.744220,5.742850,417.563512,417.641788,28.008841,28.008841,-54.601597,-55.683251
86,2,A,104,209.652792,-5.602836,-5.602694,-22570.596541,-23133.415285,-2.493593,6.202836,6.202694,466.985507,466.846255,27.882844,27.882844,-49.078942,-49.537759
87,2,A,104,209.367650,-5.328711,-5.331163,-23823.174574,-24385.993967,-2.362487,5.928711,5.931163,549.154352,549.298795,27.879977,27.879977,-43.562379,-44.406448
88,2,A,104,209.179757,-5.155356,-5.152551,-22098.770680,-22661.589853,-2.546835,5.755356,5.752551,605.880843,606.239882,27.758435,27.758435,-35.801732,-36.612868
89,2,A,104,209.481297,-5.481058,-5.481297,-23624.018546,-24186.839625,-2.382410,6.081058,6.081297,525.060959,525.028108,27.394639,27.394639,-44.545388,-45.088789
90,2,A,104,209.406786,-5.453214,-5.453214,.000000,.000000,.000000,6.053214,6.053214,521.208812,521.208812,16.970000,16.970000,.000000,.000000
